ref,outcome,k=15,k=14,k=13,k=12,k=11,k=10,k=9,k=8,k=7,k=6,k=5,k=4,k=3,k=2,k=1
mw32.4,3,161.0973938046,158.9045013767,156.3743387103,153.4225262547,149.9342011716,146.8583546807,143.1026003178,141.1436255744,139.4400414103,137.5607204416,135.469355346,132.3649528955,127.5163383177,124.4411233554,122.7014274439
mw32.5,4,63.8300651079,63.8227562529,63.8144061138,63.8047526159,63.793905913,63.7886256329,63.7826599941,63.7791349583,63.7752392389,63.7710815396,63.7671537051,63.7631768594,63.7573870502,63.755229538,63.7500503285
mw32.6,4,47.5548888328,47.3504231816,47.1152021821,46.8439480971,46.5236589535,46.1394494301,45.6699354809,45.084116453,44.3310930964,43.3279590589,41.9239357202,39.8196974534,39.1813721411,37.9073852053,34.1024594027
mw32.7,3,64.04840001,63.530893548,62.9339104711,62.2427830814,61.4260291729,60.4467707538,60.111612461,59.9324858314,59.7024882659,59.3959176908,58.966882319,58.3234071503,57.2512851521,55.1074352233,48.67776061
mw32.8,3,76.7359521702,76.676892876,76.6087512168,76.5292689634,76.4353443256,76.3226389568,76.1848997784,76.0127280011,75.7913720286,75.4962745312,75.0924833988,74.4874407427,73.4803525288,71.4682338169,65.4323439075
mw32.9,3,170.2634800348,168.1986333712,165.832387365,163.0719012503,159.8095085693,157.4759102034,154.921789014,151.7336747226,148.5009048137,144.4430464651,141.1662165198,138.7197894484,134.6863829388,127.1097122563,111.3832415059
mw32.10,3,130.6560072357,130.3258515291,129.9449026368,129.5005824005,128.9754766667,128.356621924,127.6006346692,127.1728073754,126.6229525972,125.8899136118,125.3003769337,124.416182143,122.9430339303,119.997197937,111.193333208
mw32.11,4,92.4984776712,92.3641151017,92.2091799022,92.0284541687,91.8149636631,91.5587892358,91.2457792146,90.8545273217,90.3514893816,89.6808922708,88.7423151242,87.3346515757,87.3337560116,87.3328524923,87.3318766795
mw32.12,4,77.9379519154,77.7772806961,77.5919818337,77.3758433949,77.1205970305,76.8143101873,76.4399955768,75.9721287105,75.3706420003,74.5688092894,73.4464228336,71.7629495543,71.7615000537,71.7598150574,71.7588391921
AM38.1,3,112.1223736399,110.9444714269,109.5856603182,108.0004470346,106.5934388808,104.9050484381,102.8415039921,101.0685925414,99.1416758938,96.6046211388,96.5587905984,96.4900447879,96.4897171793,96.4890619622,96.4890619622
