ref,outcome,k=15,k=14,k=13,k=12,k=11,k=10,k=9,k=8,k=7,k=6,k=5,k=4,k=3,k=2,k=1
AM20.3,3,82.6765595998,82.4438345863,82.1753556089,81.8621301351,81.4919545753,81.0478895113,80.5095566597,79.8392619712,78.9774545145,77.8285829317,76.2230591488,73.8200511228,69.8268412574,61.861690903,38.0454847868
AM20.4,4,57.7331600648,57.6082149598,57.4672874287,57.302962508,57.1088286642,56.8770252912,56.5948220251,56.2483494263,55.8038756175,55.2122299644,54.4839635137,53.4085434364,51.6424168026,48.1517549216,37.7674467477
AM20.5,4,119.2535329382,115.0315274657,110.1618155865,104.4805968335,98.6564862905,95.1990633538,92.1300818833,88.7284095066,84.3627565739,81.0437929729,76.9502122366,70.8509880253,62.1482445111,54.139319638,37.8207814286
AM20.6,4,65.388649131,64.6268659524,63.7484859659,62.7270268707,61.5202955967,60.0726776489,58.3468846149,56.1956977071,53.439480518,49.775300337,44.6594982685,37.8668939555,30.7772856437,27.3997170337,27.0747247556
AM20.7,3,57.9518149129,57.4447170908,56.8603127532,56.1828656567,55.3827447633,54.4243926271,53.3037400922,51.9110020325,50.1315690271,47.7717172963,44.4802066248,39.5700888701,31.408983299,28.1916962297,27.8231746091
AM20.8,3,127.648900654,125.284212142,122.5562380529,119.3739413378,115.6152480169,111.1052411993,107.964471785,104.2780576299,100.4613616024,95.3806624886,90.0541853334,85.8049328684,79.6206851225,67.3276795514,37.6653042166
AM20.9,3,164.1006821225,161.6640771405,158.8856103056,155.6746914764,151.8843978181,147.336045428,141.8212650996,134.9286573839,126.0823634144,114.2881360845,97.7764944916,73.0145036529,31.7450320165,28.8468358528,28.8144752526
AM20.10,3,72.750600198,72.3023792334,71.8430712555,71.3075805848,70.6756062008,69.917920994,68.9979568827,67.8505391018,66.3777923995,64.422946773,61.6915391606,57.6120386944,50.8285815113,43.0091735729,37.1681215875
AM20.11,2,54.8384069783,54.5829171557,54.2886462348,53.9494000812,53.5491320918,53.0708025567,52.4883562169,51.7620801065,50.8292492535,49.8815805246,48.6017156934,46.7295239627,43.6793053731,38.0901695001,37.0902605192
AM20.12,3,54.29764743,53.6864562237,52.9870335811,52.2047582651,51.2989331829,50.2144973625,48.8979262215,47.2535475879,45.1406560104,43.1322265978,40.4730727681,37.8131765015,35.4219598268,31.0234458244,21.390428509
mw24.1,2,59.377829717,56.7892150571,53.8023854128,50.4511861731,46.4910221923,43.9269980012,40.7932233996,37.6687687935,33.6526548012,29.5560170031,25.7491186089,20.0392987276,20.0342252868,20.0276611381,20.026630845
mw24.2,2,48.4157816408,46.7795284631,44.8915935395,42.6890284035,40.4634588162,37.7934451848,35.6333278283,32.9355416514,29.7207994358,25.4346362519,19.4357632139,10.4375551892,7.2272472108,0.8273075873,0.1956770298
mw24.3,4,84.5667127422,82.1504460332,79.3625624343,76.1100543793,72.5634102665,68.3081478051,63.7383169773,61.3707567093,58.3307737945,54.6857145592,49.5839709663,43.2631308312,32.7293654483,20.0357928335,20.0010851076
mw24.5,3,90.9800176676,87.2026842093,84.8443804353,82.0930448564,78.8415110123,74.9396964326,70.1708368855,64.2101563045,57.9938793388,54.5568850263,51.032799848,45.7479531104,37.1701045996,20.0157945006,20.0063316305
mw24.6,4,78.2301509011,75.0655425549,71.4153259262,67.7926860033,63.5527047349,59.914756606,55.4684540277,49.9118764166,43.3530299715,34.6085282358,25.0049642427,10.6024997328,7.4289800163,1.1292749641,1.0274698292
mw24.7,4,45.9158288373,45.0506266855,44.0724333197,42.9312683395,41.5826717142,39.9652378768,38.244590253,36.0953805652,33.7454582128,30.6139431094,26.3899818919,20.0636940272,20.0594034269,20.0542648499,20.0541681904
mw24.8,4,77.9360513992,76.2457697182,74.2960615117,73.0919266253,71.6692982604,70.1904958408,68.6231108386,66.6640048385,64.1459470058,60.7885763288,56.4676596013,49.9884445814,40.004976642,20.0434029604,20.027677444
mw24.9,4,45.9093684625,45.0449254802,44.0662929832,42.9250844881,41.5764857121,39.95821755,38.2370642103,36.087913203,33.7367766563,30.6032788872,26.3791137718,20.0480396987,20.0415430614,20.0337397264,20.0328775327
mw24.10,3,53.2142650527,51.4006081451,49.6665562947,47.6441146951,45.9950884904,44.016493168,41.5988857865,38.5769448239,36.8281051835,34.4964348855,31.4867395655,26.9740199461,24.6533110032,20.0129296179,20.0004457035
mw22.1,3,45.8979301048,45.0341398433,44.054094887,42.9112989164,41.5607922826,39.9402448933,38.2187462683,36.0685289621,33.7134566365,30.5748068884,26.3507210285,20.0146657948,20.0101252493,20.0051271179,20.0050575273
mw22.2,4,53.2326100993,51.4203749586,49.6867638827,47.6652038839,46.0169373091,44.0392196495,41.6229163839,38.6027079615,36.8526519689,34.519513681,31.51111583,27.0016730969,24.6832082121,20.0478549428,20.0290428958
mw22.3,4,82.3148017518,80.1600837741,77.6739008883,75.5666839313,73.0774430793,70.4629482599,67.3722235369,63.5444314158,58.6239105365,52.2862882289,43.4156348788,39.7406540422,33.6223909389,30.237402985,20.0980900528
mw22.4,4,76.4649947914,72.2238136298,67.4896569219,61.9668138254,56.8845598583,50.7862068935,45.0806005726,37.9489112056,30.2914382471,20.0818479576,20.0793590468,20.0760817219,20.0719337828,20.068608448,20.0588272399
mw22.5,3,111.6537470872,107.2412375309,102.150110314,96.2104710858,90.5802373189,83.8241931186,75.6608885641,65.4585857069,57.8578834131,47.7238517834,36.6462717603,20.0313498496,20.0221189983,20.0180969353,20.0132974282
mw22.6,4,64.0157831296,62.1063001121,59.9216216883,57.3729331837,54.5401239769,51.1430029904,47.0152602028,41.8569735276,36.7752977638,30.0007622391,26.0199983714,20.051518726,20.0459066405,20.0429021795,20.0404959377
mw22.11,4,75.5716948386,74.4085282465,73.1332129607,71.6545224084,69.9214609872,67.8883327174,65.408108728,63.6300066023,61.3439385858,58.29798858,54.4712295903,48.7318065551,39.1671523158,20.0383692942,20.0288042436
AM23.1,3,97.2755963147,93.0642551296,88.2050450064,82.9784559991,76.8015925469,70.7344139837,63.3195919011,56.9993213939,48.8733295522,42.2284130809,32.9268628882,25.7646711749,13.8277220687,10.7287135358,1.4570744353
AM23.2,3,91.1398277697,88.8712541477,87.4885688499,85.8765870199,83.9719392872,81.6864166191,79.4774406554,76.7173483698,73.2917824918,68.7245005767,62.4755582307,53.1022767181,42.0742413333,20.0182985045,20.000922218
AM23.3,3,76.5565254943,74.8848817439,72.9571024515,70.8751485379,68.4151697412,66.2632351699,63.7305978655,60.5816255046,56.5572067054,51.264451965,43.8722635166,34.9331903482,20.0373142445,20.0339054009,20.0274210779
AM23.4,4,57.4424058311,56.8011398427,56.0766811231,55.2319016875,54.2336351512,53.0357642692,51.7832649801,50.2191604142,48.5765942618,46.3876044714,43.7521638008,39.8003105804,33.2163654511,20.0488742526,20.0264863758
AM23.5,2,78.3501288533,75.470609263,73.6446326447,71.5157813328,69.6946524978,67.5093366395,64.8384877737,61.5001977697,57.208117047,51.4859665341,47.4842218154,41.482907537,34.3366619877,20.0481556121,20.0439652843
AM23.6,3,59.8891798291,58.3481492013,56.8476765838,55.0976097203,53.1721489291,50.8617267719,48.7085086256,46.0170930173,43.4065950076,39.927112071,37.9346168386,34.946214887,29.9686651297,20.0165363625,20.0038947723
AM23.7,4,76.5712931486,74.899367315,72.9719345522,70.8921628021,68.434679812,66.282905477,63.7514466424,60.6012010945,56.5756277886,51.2865541269,43.8897854032,34.9554756454,20.067283834,20.0565610957,20.0256419243
AM23.8,3,76.4389278989,72.1964335008,67.4607898936,61.9361996141,56.8519841843,50.751294136,45.0421812284,37.906552544,30.2446867031,20.0292890081,20.0270248916,20.0240558437,20.0203429196,20.0166271371,20.0060269232
AM23.9,4,224.2399794129,216.261625725,207.0559127998,199.2822002254,190.0952185881,183.4856047581,175.4073076878,165.3153167089,152.3399318319,135.041495293,110.8237394748,74.4971479233,13.9528864606,10.9081978993,1.790536886
AM26.1,3,82.3025861612,80.1476842628,77.661279499,75.5539413686,73.0635130647,70.4477974083,67.3561911961,63.5279174809,58.6065017301,52.2677995097,43.3938991226,39.718425975,33.592914986,30.2018334771,20.0370133056
AM26.2,4,72.7834569052,70.7895091645,69.4207936345,67.8863492519,66.2529719773,64.2946377119,61.9017615091,58.910753254,56.0158501719,52.1579964774,46.9387458045,39.1130878739,32.7634922252,20.0645066369,20.0408904927
AM26.3,3,62.6113052843,61.0611945143,60.0794039193,59.1191858212,58.295300413,57.307431436,56.4529261811,55.384920821,54.1328200385,52.4637255001,50.1285490118,46.6260613576,44.4266803964,40.0342775229,40.0331783621
AM26.4,4,48.5280291853,46.9018266001,45.025473763,42.8364288865,40.6269774214,37.9763378467,35.8382545234,33.1678759917,29.9867909437,25.7454844898,19.808878238,10.9040037163,7.8525727651,1.7651887403,1.5015352443
AM26.5,4,84.5660405469,82.1497670075,79.3618752712,76.1093533458,72.5627155692,68.3073966022,63.7373637991,61.3697977204,58.3296732939,54.6845639474,49.5826113865,43.2615815669,32.7273100427,20.0335661546,20.0009126109
AM26.6,3,45.8986754696,45.0338531454,44.0539178051,42.9112476819,41.5608922727,39.9405014818,38.2189328076,36.0688751347,33.7141103019,30.57584724,26.352047631,20.0165845563,20.0117106356,20.0030627241,20.0024249002
AM26.7,3,77.9294390851,76.2389621488,74.2884788096,73.0840641232,71.66127479,70.1810228396,68.6131692686,66.6534431401,64.1346320304,60.7762686797,56.453663952,49.9723368935,39.989557816,20.0242396645,20.0074574577
AM26.8,3,78.2752325197,75.1145693339,71.468368963,67.8511509671,63.616749219,59.9857129322,55.5477841609,50.0005046267,43.4534328434,34.7247365635,25.145306283,10.776546641,7.6842412113,1.5260405348,1.4147461221
AM26.10,4,90.9975749079,87.221288571,84.8636316127,82.1130548554,78.8624276755,74.9617832876,70.1943425402,64.2354615411,58.0214486729,54.5868162929,51.0654353925,45.7850324072,37.2141484621,20.0738648687,20.0636649865
AM26.11,4,76.4608909321,72.2194638296,67.4850954813,61.9619395668,56.879403556,50.7806876045,45.0743515784,37.9420154492,30.2838504069,20.073313577,20.0714081902,20.0689363085,20.065930104,20.0626067574,20.053396057
AM28.1,4,91.1510095459,88.8826480246,87.5001928889,85.8884918753,83.9841798431,81.699023181,79.4918541954,76.7336781674,73.3093262485,68.7449367164,62.4983862615,53.1308999004,42.1089393789,20.0650602098,20.0513002863
AM28.2,3,76.5802106577,74.910578718,72.9846652032,70.9053186807,68.4480280689,66.2873706996,63.7480885316,60.5910601716,56.5575712881,51.2591586262,43.8659604829,34.9266059394,20.0289195787,20.0270719534,20.0263159021
AM28.3,4,57.4390873072,56.7935648019,56.0690190145,55.2243013315,54.2260257758,53.0281065347,51.7760713527,50.2116984997,48.5690890418,46.380242758,43.7449048932,39.7927202639,33.2079317132,20.0384735081,20.0328708075
AM28.4,4,78.3443962994,75.4645644672,73.6391960105,71.5102988153,69.689059487,67.5035964474,64.832480687,61.4936346369,57.2008447476,51.4777859379,47.4753402273,41.47295889,34.3253306402,20.0324571767,20.0274044739
AM28.5,3,59.8874924641,58.3464644013,56.8459837663,55.0959498225,53.1704793786,50.8600305692,48.7062959501,46.0144343962,43.4040238178,39.9237075589,37.9308024891,34.9418455192,29.9634253165,20.0069530419,20.0001004245
AM28.6,3,64.2393772872,61.1866054451,58.1775671842,54.667033327,50.8513036512,47.7140680059,43.8803156039,40.3406153905,36.6722205194,31.7824056056,25.7368048049,22.5783130333,21.7275571168,20.0273148499,20.026875465
AM28.7,4,76.4476836663,72.2055838021,67.4704782044,61.9464489241,56.8629180289,50.7630790787,45.0551457823,37.9211955613,30.2608939064,20.0476960471,20.0463323514,20.0445999361,20.0421318126,20.0379452459,20.0256394562
AM28.8,4,224.2469098571,216.2689496501,207.0637031518,199.2904501833,190.1041046788,183.4942079635,175.4155677227,165.3234450017,152.3478943533,135.0495750974,110.8319953687,74.506143643,13.9631121209,10.9126334217,1.7736593049
AM28.9,4,82.3082578146,80.1535118305,77.6672787307,75.5600129053,73.0697124908,70.4551037672,67.3634135629,63.5354409337,58.6143199191,52.2762538823,43.4049943524,39.730304868,33.6109878028,30.2232931952,20.0606300599
AM28.10,3,72.7697323083,70.7754985216,69.4058300991,67.871080804,66.2375070281,64.2789560801,61.8858171167,58.8944214194,55.9980067843,52.1374077324,46.9168625584,39.0863574859,32.7342572199,20.030109336,20.0263062341
mw28.1,1,110.8334394739,109.5431855547,108.0554846877,106.3222043618,104.2787968372,101.839010375,98.8688542488,95.1584231439,90.3882110503,84.8671596585,78.8564752228,73.6701761012,65.558754218,55.0729211533,41.4452556472
mw28.2,2,165.8659729265,163.4662972045,160.7040252629,157.4857491495,153.6904415639,149.1450773942,143.6070015915,136.7539275259,127.9635584851,116.2860209097,99.9759705348,75.5159179691,34.749163693,31.4752255958,31.4405990417
mw28.3,3,53.1571036827,52.8656921604,52.583266556,52.2748921766,51.9389320007,51.5370491247,51.0487726286,50.5033030888,49.8050464501,48.8863553195,47.6787974704,45.9317916062,43.0320480019,37.2399307842,33.0483279297
mw28.4,2,43.5818729747,43.5402278259,43.5012505618,43.4562585265,43.4137163364,43.362669414,43.3007340904,43.224059705,43.1279466448,43.0052264056,42.8341288267,42.5786221512,42.153440605,41.3054748597,41.2832912448
mw28.5,2,73.9409325949,73.5285860282,73.0628421244,72.5204554918,71.8794826598,71.1103765834,70.1716467761,68.9984075841,67.4901021571,65.4797017938,62.6652306687,58.443801262,51.4085230084,42.9069068003,41.3734830429
mw28.6,3,59.463613305,58.910873518,58.2732837557,57.5295617673,56.6511071824,55.7068151516,54.5527471284,53.2447186932,51.6220351943,49.4878633818,46.523580401,42.0781726475,34.7247451489,31.4789981465,31.4240910685
mw28.7,4,78.9885514417,78.1888991799,77.2679216007,76.491146872,75.573849198,74.4732302455,73.1386373792,71.5201401244,69.440436629,66.8810911215,63.2988778727,57.9259422448,48.972736464,39.2267352354,37.1388759697
AM31.1,3,104.76620621,102.4783198095,99.8410263495,96.7644615608,93.1409573344,88.9873129525,83.9267418278,78.3997351073,71.9205220254,63.9860729322,54.2703152873,43.8603996611,34.6451000642,31.3329630491,31.3007334438
AM31.2,3,81.67806636,81.3976022271,81.0966257483,80.7601362952,80.3779003023,79.940306947,79.4063129478,78.7411729002,77.935225916,76.8631847859,75.3722816582,73.2015460868,69.6428616375,62.5404733613,41.2345676351
AM31.3,3,82.1240018903,81.89450121,81.6296927328,81.3241804487,80.9631204766,80.5356977107,80.0165963591,79.3696653509,78.5410778205,77.443347463,75.9104580566,73.6192543895,69.9812877189,62.7720860331,41.2247668993
AM31.4,3,59.240663388,59.0597375685,58.8512752205,58.6081470507,58.3211396449,57.9767903865,57.5559589485,57.0301768556,56.3570840165,55.8140626999,55.1574120211,54.2599294787,52.7899871602,49.8590259567,41.2717292966
AM31.5,3,121.5271020156,117.3910978778,112.6212740865,107.0564796632,101.3854569982,98.0744490072,94.8202168556,90.75284256,85.9986485901,82.7430146925,78.8655531004,73.0579566206,64.616256072,56.8794079633,41.2309209653
AM31.6,3,66.9636794318,66.1832868364,65.2830049038,64.2327628067,62.9927128589,61.6754906848,60.1096052578,58.1839220659,55.7175465275,52.4310791125,47.861454069,41.3971304447,34.6622944654,31.3480825879,31.2686661881
AM31.7,3,82.1181604538,81.8889156401,81.6244023936,81.3191527742,80.9584032239,80.5314521917,80.013024022,79.3664574178,78.5386381095,77.4415832152,75.9104042076,73.6213342565,69.9844742931,62.7736415133,41.2243265774
mw26.1,4,76.45834389,72.2167541258,67.4822677535,61.958914311,56.876214412,50.7772969427,45.0703934539,37.9376642154,30.2790745297,20.0679939394,20.0667160713,20.0651084959,20.0632807333,20.0596919634,20.0502709792
mw26.2,2,111.6601813917,107.2491426611,102.1597891246,96.2222265025,90.593164738,83.8384615408,75.6781567886,65.4782412163,57.8804738692,47.7502885557,36.6783770409,20.0710576204,20.0421015124,20.0294830518,20.0284382876
mw26.5,4,64.0147989621,62.1052872576,59.9206760391,57.3720440851,54.539124337,51.141621605,47.0136365451,41.8548207693,36.7733590496,29.9985955466,26.018900916,20.0506679626,20.0462653949,20.0388375514,20.0366639297
AM28.11,4,76.4452244286,72.2029597006,67.4677194763,61.9434684357,56.8597739686,50.7596600756,45.0512725715,37.9167774802,30.25602415,20.0420616534,20.0409639469,20.0396048931,20.0376125785,20.0344668702,20.0250367158
AM28.13,4,62.6214269981,61.0717275716,60.0887455589,59.1281105267,58.30464962,57.3169925094,56.461255183,55.3916372292,54.1398701697,52.4712741649,50.1364836192,46.6344076887,44.4360035565,40.0437499735,40.0430890244
AM28.14,3,97.2722938899,93.0607664528,88.2013334187,82.9744873542,76.797313274,70.7297983648,63.3144701971,56.993636061,48.8669827257,42.2211655082,32.9183773415,25.7543994802,13.8145599859,10.7108962315,1.4186876753
AM28.15,4,76.5779845778,74.907041333,72.9805324425,70.9011954582,68.4440459628,66.2867083203,63.7504170231,60.5942562889,56.5618988731,51.2668284008,43.8695128514,34.9323034743,20.0386956408,20.028246833,20.0006240675
AM28.16,4,75.5821199734,74.4138123142,73.1342325776,71.6506814884,69.9135262708,67.8771918437,65.3974017075,63.6186032533,61.3317577584,58.2848121686,54.4566543415,48.714675824,39.146146641,20.0095604743,20.0003655739
AM33.1,3,87.9820123499,86.3086871078,84.7687033998,83.2723772766,81.5110632399,80.2533408677,78.8550976326,77.3950722133,75.5372780116,73.1577221241,69.8312437986,65.2762169389,58.9616394815,46.3635199581,36.5797086471
AM33.2,3,48.1640922241,47.9817326588,47.7766187872,47.5579845704,47.3153312142,47.0301708817,46.702718667,46.307361172,45.8033475813,45.1341699869,44.2928866151,43.0819128409,41.1573904693,38.7112493361,37.2450959752
AM33.3,3,64.8658992322,64.0934136097,63.2022193031,62.1627697186,60.9346749189,59.4614663301,57.6619724184,55.4142805281,52.5246713129,48.6737699103,43.3329788363,36.3546985831,28.9431486958,25.0323005335,24.6053397075
mw30.1,3,55.1296175504,54.8499137695,54.5277293159,54.153309764,53.7120234883,53.1827482184,52.5371919898,51.7315446939,50.7114746115,49.7330449369,48.5151501723,46.7345522933,43.8164586122,38.0166067108,36.6501691693
mw30.2,3,57.7025903827,57.1879614096,56.5947375526,55.9029875459,55.0862154751,54.1062473374,52.9089798884,51.4154832925,49.4974979106,46.9430281969,43.4849739196,38.4664800766,30.1153839944,26.647603501,26.5522874952
AM33.4,3,120.9657527074,118.6083883587,116.1302418143,113.2525031626,110.1663117776,106.6068622763,102.3352967447,97.003525409,91.4496021856,85.3048152277,77.982708083,69.4579760367,64.4892472072,57.4497324202,36.9187504928
mw30.3,3,82.709231609,82.4092780715,82.0743922103,81.6842207962,81.2237440065,80.6715603784,79.9969797884,79.1545784967,78.0768051693,76.6487707882,74.954977104,72.5521780686,68.5860921338,60.6794657778,37.0467606843
mw30.4,2,119.1451862271,114.8903729747,109.9846979662,104.261606548,98.4289887032,94.9632000437,91.8841893393,88.4130357956,83.9580656963,80.6214443139,76.5607519419,70.4897082358,61.7449510591,53.6456040145,37.1178076818
AM33.5,3,47.9549165214,47.8235246949,47.6746876438,47.503017056,47.3007923559,47.0586174566,46.7632059876,46.3956790077,45.9251500584,45.300933078,44.4313486486,43.132157553,40.9674083539,37.0717693712,37.0393235841
mw30.5,3,127.7064277324,125.308414735,122.5446632796,119.3259943486,115.5266444772,110.9674438921,107.8224918431,104.1306034135,100.2449530816,95.0729474572,89.702637395,85.4183817453,79.264718538,67.0012158653,37.2382269289
AM33.6,3,72.2976838817,71.8847227895,71.4302527961,70.9008569628,70.2753860134,69.525259608,68.6148574814,67.479470079,66.0220172192,64.0881614692,61.3858250495,57.3467188636,50.6411015242,42.8764740554,36.66911236
mw30.6,2,66.4552707991,66.0437563006,65.5707864501,65.0248006914,64.3818530286,63.6112709054,62.6747838729,61.5062134519,60.018666042,58.6099369505,56.7287311946,55.5649866117,53.7708605305,52.7381019266,50.3227968823
AM33.7,3,47.9586884389,47.8272716975,47.6785553397,47.5068522697,47.3045925065,47.0623754757,46.7669094663,46.3993228853,45.9287125313,45.304341418,44.4346270513,43.1356767344,40.9709325697,37.0770615027,37.0445896046
AM33.8,3,110.2499397923,108.8103526617,107.1651987791,105.2635746186,103.0705704937,100.4724053194,97.3055501568,93.354507287,88.2793979423,82.661763649,76.95290342,70.7258545094,62.4789477285,51.4288705209,36.6660569466
mw30.7,3,163.867702099,161.4227863507,158.6327309847,155.4065867406,151.5976265208,147.026874257,141.443134825,134.4664450581,125.497747112,113.5460550307,96.8217254871,71.7489844773,29.9724801712,26.5418267654,26.4971323388
mw30.8,4,57.6876677013,57.5739190621,57.4429621205,57.2903071966,57.1112414271,56.9005267596,56.6436640966,56.3232486694,55.911701556,55.3637382631,54.5986337573,53.4521149339,51.555341105,47.7708835962,36.9960924789
AM33.9,3,110.2847211457,108.8452149073,107.2011904824,105.2943784379,103.1012845314,100.5034785534,97.3355503922,93.3864183196,88.3104441125,82.6952730749,76.9919732875,70.7685506144,62.520041275,51.4751884313,36.7206949391
mw30.9,2,54.2388503612,53.6311014952,52.9299028474,52.1160943437,51.1552103587,50.0095530988,48.6325120522,46.9442370415,44.8419777523,42.9557949562,40.4249123236,37.8364465049,35.8170480372,32.2131004052,23.0409202412
AM37.1,2,115.7525901241,114.5575295078,113.1786472895,111.570512166,110.4338160152,109.0698004726,107.4027138087,105.6753485502,103.9697970314,101.7256258538,101.6861040224,101.6268212752,101.6265112701,101.6258912599,101.6258912599
AM37.2,2,85.7430540184,85.5916147386,85.4881638156,85.3699002466,85.239635106,85.0854697519,84.9016813564,84.6750087888,84.3922533269,84.0235398464,84.0217803156,84.0196924453,84.0181916806,84.0151901512,84.0061855631
AM37.3,2,62.9680193249,62.9651537186,62.9623193484,62.9591796743,62.955891749,62.9537271205,62.9512460035,62.9485520735,62.9459418733,62.9437933206,62.941284688,62.9383463867,62.9345882025,62.9289439361,62.9217065274
AM37.4,2,157.5098622329,156.4654869961,155.260438646,153.8549521023,152.1939225506,150.5803565601,148.6926536405,146.3372046034,143.7783166685,141.8502255107,139.6887522932,136.4762224716,131.7910008325,128.1138577147,121.2477637614
AM37.5,2,82.3104327379,82.2695494879,82.2233706458,82.1695288601,82.1059436476,82.0296673603,81.9364431456,81.819920746,81.6701069719,81.4703558807,81.1907395815,80.7713197477,80.0723037915,78.6743590397,74.4805928132
AM37.6,2,205.197910091,203.6252355401,201.8265006443,199.7325449445,197.2674229308,194.3095991967,190.6973068256,186.1831670194,180.3827007804,172.6488102743,161.8759299247,145.7166094002,118.7847773161,117.6292745535,117.6138268161
AM37.7,2,97.2009775677,96.6996919531,96.1213673893,95.4466616245,94.6492927056,93.6924670966,92.5233039021,91.1241799433,89.3257789998,86.9286879085,84.7224604897,84.5663798496,84.3063285159,83.7867117832,83.783538339
mw35.1,2,54.0185347146,54.0149273143,54.011320414,54.0072495912,54.0029903111,53.9999815572,53.9976746843,53.9956547889,53.9934736644,53.9908165108,53.9872410734,53.9838813774,53.9797861366,53.9765011076,53.968470983
mw35.2,2,100.0541392382,99.8944266835,99.7101791224,99.495232695,99.2412181671,98.9364032969,98.5638677035,98.0982181521,97.4995682405,96.7020806196,95.5856556429,93.9111496415,91.1238751064,91.1237488122,91.1235204857
mw35.3,2,73.5013104068,73.4455670184,73.3813812718,73.3065721383,73.2183106599,73.1124926531,73.0464863178,72.9824128924,72.9070039829,72.8086294806,72.673619794,72.4771628936,72.261064877,72.0883270367,71.9993742799
mw35.4,2,134.6532767195,134.4239796529,134.159450717,133.8508359896,133.4861184093,133.0484603516,132.5135602075,131.8449451531,130.9853019313,129.839118025,128.2344622904,125.8274927767,121.8158851013,113.792673816,106.5227164668
mw35.5,2,54.015258757,54.011950204,54.0086867294,54.0052516671,54.0015569942,53.9989535149,53.9963307784,53.993465214,53.9903403805,53.9879329477,53.9848903267,53.9814050728,53.9767901134,53.9698446502,53.9612675502
mw35.6,2,65.7976122372,65.5232816608,65.2067895659,64.8376584503,64.4014674752,63.8781864881,63.2386524727,62.4396862364,61.4132816996,60.0449562203,58.1314552564,55.2637519156,54.0253124355,52.2572339075,51.8497698198
mw35.7,4,65.5048011907,65.0818801199,64.5939651912,64.0247515697,63.3520453053,62.5448029329,61.5581758143,60.3248990821,58.7392592401,58.0672958159,57.1269103074,55.7172640172,53.405226535,48.7838555884,34.9205934035
AM35.1,4,107.68631164,106.5545151718,105.2526237409,103.7344756799,101.9403851564,99.7875961601,97.1569656356,95.2156660997,92.7494077881,89.647257482,89.5951633551,89.5170221647,89.5164627679,89.5153439743,89.5153439743
AM35.2,4,90.1587721597,89.933230264,89.6773405928,89.3806300983,89.0320815808,88.6216447726,88.1276698325,87.8143826724,87.4141491011,86.8810893476,86.135916502,85.0181572337,83.1552251198,83.1536183769,83.1528936958
AM35.3,4,71.5624075044,71.5557139001,71.5480587162,71.5393355195,71.5294004814,71.5248721845,71.5197410911,71.5157627319,71.5118736364,71.5083966919,71.5047444047,71.5014871386,71.4965004156,71.4949767925,71.491142296
AM35.4,3,151.8465430027,150.3999243175,148.9337911117,147.5704800974,145.9592943533,144.0263123472,141.6637787841,139.1983658055,136.6410045625,134.5970037136,131.7613910216,127.7507543234,122.7586964531,118.8079459238,111.4004744623
AM35.5,4,129.1312769199,128.9475966405,128.7356629689,128.4884075829,128.1961991833,127.8455518374,127.4169885863,126.88128906,126.1925439079,125.283356473,124.0112846844,122.1033532894,118.9250520848,112.568570652,102.7924564452
AM35.6,4,205.9187357163,204.2143926806,202.2651728579,199.9957215498,197.3204966025,194.1136830533,190.197092056,185.3030958207,179.0142938078,170.629250791,158.9410767474,141.4108126,112.1937056876,111.9494917458,111.2308375249
AM35.7,2,91.7684248528,90.5292303299,89.2745608805,87.8108018053,86.0809101541,84.0050431634,81.6356825923,78.6740214584,75.1014492589,70.709624103,64.5612906853,63.5319215747,61.8253537872,61.8250158723,61.8243562721
AM35.8,4,58.6035094982,58.6002332002,58.5964638073,58.592076837,58.5869068294,58.5807035359,58.5731289062,58.5636684898,58.5515229109,58.5353415592,58.5127257611,58.509620136,58.5073962867,58.5037362715,58.5034582416
AM35.9,4,24.9156821183,24.8990819129,24.8800452962,24.8583751135,24.840208204,24.8302912807,24.8206622473,24.8174406962,24.8142536726,24.8105410649,24.8061279465,24.8025455145,24.7991605967,24.7970373126,24.7943157923
AM35.10,4,86.9948852164,86.7092081118,86.3804035455,85.997362485,85.5452202085,85.0032274688,84.340887499,83.514640435,82.4524154404,81.037024381,79.1390794241,78.0111575557,76.1314279362,76.129525485,76.1257748024
AM35.11,4,60.5275186995,60.4368203276,60.3326704796,60.2112264167,60.0677664208,59.8958070904,59.6857211973,59.4231283917,59.0855683685,58.6354988652,58.0068962236,57.0660500421,57.0658746366,57.065819063,57.0657798832
mw32.1,4,63.8188459938,63.8111383011,63.8025830017,63.7927055513,63.781104533,63.7763311938,63.7707490051,63.7639979787,63.7598177621,63.7561504418,63.7520980101,63.7487625905,63.743334685,63.7420423189,63.7403794338
mw32.2,4,90.3603881896,90.3583464319,90.3560203206,90.3533161223,90.3501250356,90.34630646,90.3416435554,90.335825392,90.3283499911,90.318399021,90.3044684171,90.3010778192,90.2987436363,90.2975019375,90.2947071365
mw32.3,4,71.5824501441,71.5769193206,71.5705855018,71.5632684982,71.5560098604,71.5517265262,71.5490844473,71.5473571022,71.5464444105,71.5457321552,71.545016082,71.5442204733,71.5433732565,71.5429258169,71.5426718388
