@relation 'rec_system-weka.filters.unsupervised.attribute.Remove-V-R2,165-166,274'

@attribute time numeric
@attribute orgdon-wateraccratio numeric
@attribute inorg-org-moleratio numeric
@attribute outcome {1,2,3,4}

@data
20,-0.0078,6.8973,2
20,-0.0172,7.3498,3
20,-0.02,6.8174,2
20,-0.0082,6.742,2
20,-0.0043,6.5551,1
20,-0.0166,6.5657,3
20,-0.0202,6.9678,3
20,-0.006,4.976,2
20,-0.0065,3.1681,3
20,-0.0023,3.1054,3
20,-0.0041,3.433,3
60,-0.0063,2.3765,4
60,0,2.8547,4
60,-0.0025,2.9626,4
60,-0.0151,2.94,4
60,-0.0038,2.028,4
60,-0.0108,2.0529,4
60,-0.0157,54.4752,4
60,-0.0161,2.0474,4
60,-0.0171,1.9564,4
60,-0.0149,3.0017,3
60,-0.0154,2.2161,3
60,-0.0151,2.2361,3
60,-0.0148,3.0336,3
60,-0.0149,2.2422,3
60,-0.0149,2.2816,3
60,-0.0154,2.9041,4
60,-0.0149,2.2598,4
60,-0.0151,9.0388,4
60,-0.0151,2.9869,4
60,-0.0168,2.0184,3
60,-0.015,2.2395,4
60,-0.0158,2.8286,3
60,-0.0151,2.2387,4
20,-0.0093,6.1495,3
20,-0.0085,0.5405,3
20,-0.0093,0.867,3
20,-0.0021,6.5454,3
20,-0.0022,0.4693,4
20,-0.002,0.909,3
20,-0.0021,6.2696,3
20,-0.0022,0.5235,2
20,-0.0025,0.7525,3
20,-0.0041,6.7817,3
20,-0.004,0.501,3
20,-0.0042,0.9836,3
20,-0.0081,8.902,2
20,-0.0076,0.6649,2
20,-0.009,1.0837,2
20,-0.0179,6.2294,1
20,-0.0169,0.6194,1
20,-0.0186,0.846,1
20,-0.0166,6.7111,3
20,-0.016,0.4886,4
20,-0.0172,1.1543,1
20,-0.0062,6.7164,4
20,-0.007,5.8613,4
96,-0.0908,1.5985,4
96,-0.0308,1.5742,4
96,-0.0908,1.5875,3
96,-0.0928,1.5635,4
96,-0.0906,1.5912,3
96,-0.0607,1.5853,3
96,-0.0458,1.5953,3
72,-0.1204,1.2237,3
72,-0.0661,2.204,3
72,-0.0896,1.7491,3
72,-0.0911,1.4516,4
72,-0.0919,1.9711,2
72,-0.0911,1.2081,4
48,-0.1228,1.1716,4
48,-0.0605,2.4032,3
48,-0.0911,1.7308,4
48,-0.0887,1.485,4
48,-0.0897,2.0124,4
48,-0.0891,1.2123,4
72,-0.0589,4.0873,3
72,-0.0014,3.7644,3
72,-0.0119,3.9068,4
72,-0.0037,3.7844,2
72,-0.018,4.0114,3
72,-0.024,4.0133,3
72,-0.018,4.038,4
72,-0.0121,3.9669,3
113,-0.2933,0.0183,3
113,-0.2969,0.0189,3
113,-0.3042,0.0188,3
113,-0.2933,0.0181,4
113,-0.3009,0.019,4
113,-0.3005,0.0184,4
113,-0.3189,0.0186,4
113,-0.304,0.0186,4
113,-0.297,0.0182,4
113,-0.2933,0.0335,3
113,-0.3123,0.0182,3
113,-0.3146,0.0182,3
113,-0.3172,0.0182,4
113,-0.3165,0.0181,4
113,-0.2933,0.0184,3
10,-0.0066,6.3494,3
10,-0.0069,5.2975,1
10,-0.0131,3.2564,3
