@relation 'rec_system-weka.filters.unsupervised.attribute.Remove-V-R39,41,85,96,164,240,254,267,274'

@attribute orgvanderwaalsMin numeric
@attribute orgASA+Min numeric
@attribute orghbdamsdonGeomAvg numeric
@attribute oxlikevanderwaalsMax numeric
@attribute orgacc-waterdonratio numeric
@attribute PaulingElectronegMean numeric
@attribute hardnessMaxWeighted numeric
@attribute AtomicRadiusMeanWeighted numeric
@attribute outcome {1,2}

@data
289.27,244.99,1.56,-1,-0.0042,2.09,1.8663,0.4354,2
289.27,244.99,1.56,-1,-0.0026,2.09,2.2536,0.4928,2
289.27,244.99,1.56,-1,-0.0054,2.09,1.1184,0.4216,1
289.27,244.99,1.56,-1,-0.0039,2.09,1.4828,0.4707,1
289.27,244.99,1.56,-1,-0.0015,2.09,2.2566,0.5794,2
289.27,244.99,1.56,-1,-0.004,2.09,1.2524,0.5113,2
289.27,244.99,1.56,-1,-0.0025,2.09,1.4781,0.548,2
289.27,244.99,1.56,-1,-0.0013,2.09,1.868,0.6041,2
289.27,244.99,1.56,-1,-0.0012,2.09,1.5131,0.6372,2
289.27,244.99,1.56,-1,-0.0013,2.09,1.8186,0.6727,2
446.89,341.49,2,-1,-0.0177,2.09,0.7715,0.278,2
446.89,341.49,2,-1,-0.0091,2.09,1.5093,0.3773,2
446.89,341.49,2,-1,-0.0084,2.09,1.2011,0.4484,2
446.89,341.49,2,-1,-0.0154,2.09,1.0446,0.3542,2
446.89,341.49,2,-1,-0.0142,2.09,1.3161,0.2701,2
275.81,239.3,1.99,-1,-0.0001,2.09,1.4925,0.3774,2
275.81,239.3,1.93,-1,-0.0002,2.09,1.3645,0.4868,2
275.81,239.3,1.93,-1,-0.0007,2.09,1.0455,0.3504,2
275.81,239.3,1.93,-1,-0.0007,2.09,1.3187,0.2671,2
229.03,211.13,4,-1,0,2.09,4.4383,0.6986,2
229.03,211.13,4,-1,0,2.09,4.4484,1.4975,2
229.03,211.13,4,-1,0,2.09,4.4769,0.7051,2
273.23,244.65,0.97,-1,-0.0037,2.09,4.4645,0.7038,2
273.23,244.65,0.97,-1,-0.0051,2.09,4.4642,0.7033,2
273.23,244.65,0.97,-1,-0.0036,2.09,4.4753,0.7042,2
273.23,244.65,0.97,-1,-0.0043,2.09,4.4551,0.7038,2
281.27,216.3,0.73,220.06,-0.0029,2.09,2.2136,0.394,2
281.27,216.3,0.73,220.06,-0.0027,2.09,2.2707,0.3974,2
281.27,216.3,0.73,220.06,-0.0047,2.09,2.2196,0.393,1
273.23,244.65,0.97,211.65,-0.0022,2.09,2.2438,0.3928,2
273.23,244.65,0.97,-1,-0.0036,2.09,3.7377,0.6026,2
281.27,216.3,0.73,-1,-0.0046,2.09,3.7048,0.5993,2
273.23,244.65,0.97,-1,-0.0034,2.09,4.5005,0.7088,1
273.23,244.65,0.97,-1,-0.0043,2.09,5.2525,0.8104,2
281.27,216.3,0.73,-1,-0.0056,2.09,5.1533,0.7984,1
295.52,244.26,4,-1,0,2.09,3.7747,0.6071,2
295.52,244.26,4,-1,0,2.09,3.7145,0.5981,2
295.52,244.26,4,-1,0,2.09,3.8006,0.6076,2
281.27,216.3,0.73,-1,-0.0041,2.09,4.4537,0.6968,2
281.27,216.3,0.73,-1,-0.0034,2.09,4.4383,0.6971,2
281.27,216.3,0.73,-1,-0.0042,2.09,4.4258,0.6977,2
281.27,216.3,0.73,-1,-0.0041,2.09,4.4084,0.6996,1
281.27,216.3,0.73,-1,-0.0035,2.09,4.5176,0.7125,1
281.27,216.3,0.73,-1,-0.0032,2.09,4.4645,0.7054,2
