@relation 'rec_system-weka.filters.unsupervised.attribute.Remove-V-R1,3,5-6,33,63,100,165,168,170,172,180,184,231,274'

@attribute Temp_max numeric
@attribute slowCool {yes,no}
@attribute leak {yes,no}
@attribute numberInorg numeric
@attribute orgmaximalprojectionsizeMin numeric
@attribute orgASA_PArithAvg numeric
@attribute oxlikeASA_HMax numeric
@attribute orgdon-wateraccratio numeric
@attribute Na {yes,no}
@attribute Te {yes,no}
@attribute K {yes,no}
@attribute S {yes,no}
@attribute Co {yes,no}
@attribute AtomicRadiusMax numeric
@attribute outcome {1,2,3,4}

@data
130,yes,no,2,5.54,36.99,0,-0.0082,yes,no,no,no,no,171,4
130,yes,no,2,5.54,36.99,0,-0.0084,yes,no,no,no,no,171,4
130,yes,no,2,5.44,58.29,0,-0.0181,yes,no,no,no,no,171,4
130,yes,no,2,5.04,64.07,0,-0.0107,yes,no,no,no,no,171,4
130,yes,no,2,4.91,44.53,0,-0.0082,yes,no,no,no,no,171,4
130,yes,no,2,5.93,128.75,0,-0.0196,yes,no,no,no,no,171,4
130,yes,no,2,5.73,142.75,0,-0.0206,yes,no,no,no,no,171,4
130,yes,no,2,7.39,104.58,0,-0.0169,yes,no,no,no,no,171,3
110,?,no,2,5.56,30.88,-1,-0.1099,no,no,no,yes,no,171,4
110,?,no,2,5.18,33.93,-1,0,no,no,no,yes,no,171,4
110,?,no,2,5.52,23.05,-1,-0.1067,no,no,no,yes,no,171,4
110,?,no,2,5.25,12.27,-1,-0.0326,no,no,no,yes,no,171,4
110,?,no,2,5.92,27.25,-1,-0.0687,no,no,no,yes,no,171,1
110,?,no,2,6.62,17.76,-1,-0.0594,no,no,no,yes,no,171,4
110,?,no,2,5.88,14.69,-1,-0.0477,no,no,no,yes,no,171,1
110,?,no,2,5.4,104.8,-1,-0.2214,no,no,no,yes,no,171,3
110,?,no,2,5.56,30.88,-1,-0.0986,no,no,no,yes,no,171,4
110,?,no,2,5.18,33.93,-1,0,no,no,no,yes,no,171,4
110,?,no,2,5.52,23.05,-1,-0.1109,no,no,no,yes,no,171,4
110,?,no,2,5.25,12.27,-1,-0.0323,no,no,no,yes,no,171,4
110,?,no,2,5.92,27.25,-1,-0.0733,no,no,no,yes,no,171,4
110,?,no,2,6.62,17.76,-1,-0.0585,no,no,no,yes,no,171,4
110,?,no,2,5.88,14.69,-1,-0.0515,no,no,no,yes,no,171,3
110,?,no,2,5.4,104.8,-1,-0.2202,no,no,no,yes,no,171,2
90,yes,no,2,5.69,64.03,17.64,-0.0179,yes,yes,no,no,no,171,2
90,yes,no,2,5.18,33.93,17.64,0,yes,yes,no,no,no,171,3
90,yes,no,2,4.08,30.99,17.64,0,yes,yes,no,no,no,171,3
90,yes,no,2,5.52,23.05,17.64,-0.0112,yes,yes,no,no,no,171,3
90,yes,no,2,5.56,30.88,17.64,-0.0159,yes,yes,no,no,no,171,3
90,yes,no,2,5.69,36.59,17.64,-0.0155,yes,yes,no,no,no,171,4
90,yes,no,2,4.65,27.88,17.64,0,yes,yes,no,no,no,171,3
90,yes,no,2,6.62,13.98,17.64,-0.0059,yes,yes,no,no,no,171,3
90,yes,no,2,5.93,119.9,17.64,-0.0313,yes,yes,no,no,no,171,3
90,yes,no,2,5.71,0,17.64,0,yes,yes,no,no,no,171,3
90,yes,no,2,5.17,96.38,17.64,-0.0215,yes,yes,no,no,no,171,3
90,yes,no,2,5.47,96.32,17.64,-0.0218,yes,yes,no,no,no,171,3
90,yes,no,2,6.57,96.39,17.64,-0.0216,yes,yes,no,no,no,171,3
90,yes,no,2,5.92,27.25,17.64,-0.0079,yes,yes,no,no,no,171,3
90,yes,no,2,5.25,12.27,17.64,-0.0036,yes,yes,no,no,no,171,3
90,yes,no,2,5.88,14.69,17.64,-0.0042,yes,yes,no,no,no,171,3
90,yes,no,2,5.4,104.8,17.64,-0.0274,yes,yes,no,no,no,171,3
90,yes,no,2,4.91,44.53,17.64,-0.0149,yes,yes,no,no,no,171,3
90,yes,no,2,5.73,143.27,17.64,-0.0314,yes,yes,no,no,no,171,4
90,yes,no,2,5.55,72.75,17.64,-0.0186,yes,yes,no,no,no,171,4
110,yes,no,2,5.56,30.88,-1,-0.0728,no,no,no,yes,no,171,4
110,yes,no,2,5.56,30.88,-1,-0.0399,no,no,no,yes,no,171,4
110,yes,no,2,5.56,30.88,-1,-0.1985,no,no,no,yes,no,171,4
110,yes,yes,2,5.56,30.88,-1,-0.034,no,no,no,yes,no,171,4
110,yes,no,2,5.52,23.05,-1,-0.0764,no,no,no,yes,no,171,2
110,yes,no,2,5.52,23.05,-1,-0.0247,no,no,no,yes,no,171,3
110,yes,no,2,5.69,64.03,-1,-0.0999,no,no,no,yes,no,171,3
110,yes,no,2,5.69,64.03,-1,-0.0532,no,no,no,yes,no,171,3
110,yes,no,2,5.18,33.93,-1,0,no,no,no,yes,no,171,4
110,yes,no,2,5.18,33.93,-1,0,no,no,no,yes,no,171,4
110,yes,no,2,5.18,33.93,-1,0,no,no,no,yes,no,171,4
110,yes,no,2,5.18,33.93,-1,0,no,no,no,yes,no,171,3
150,yes,no,2,6.87,41.06,-1,-0.0119,yes,no,no,no,no,171,4
150,yes,no,2,7.12,22.43,-1,-0.0021,yes,no,no,no,no,171,4
150,yes,no,2,7.12,22.43,-1,-0.002,yes,no,no,no,no,171,4
90,yes,no,2,4.08,31.24,-1,-0.0151,no,no,no,yes,no,171,3
90,yes,no,2,4.08,30.99,-1,0,no,no,no,yes,no,171,4
90,yes,no,2,5.69,64.03,-1,-0.0461,no,no,no,yes,no,171,1
90,yes,no,2,5.69,64.03,-1,-0.0542,no,no,no,yes,no,171,2
90,yes,no,2,5.18,33.93,-1,-0.0091,no,no,no,yes,no,171,4
90,yes,no,2,5.18,33.93,-1,0,no,no,no,yes,no,171,3
90,yes,no,2,5.56,41.81,-1,-0.0495,no,no,no,yes,no,171,3
90,yes,no,2,5.56,30.88,-1,-0.0385,no,no,no,yes,no,171,4
90,yes,no,2,4.65,45.39,-1,-0.0104,no,no,no,yes,no,171,1
90,yes,no,2,4.65,27.88,-1,0,no,no,no,yes,no,171,3
90,yes,no,2,5.93,128.75,-1,-0.1213,no,no,no,yes,no,171,3
90,yes,no,2,5.93,119.9,-1,-0.1087,no,no,no,yes,no,171,3
110,yes,no,2,5.92,27.89,-1,-0.0094,no,no,no,yes,no,171,3
110,yes,no,2,5.92,27.89,-1,-0.0093,no,no,no,yes,no,171,3
110,yes,no,2,5.92,27.89,-1,-0.0186,no,no,no,yes,no,171,3
110,yes,no,2,5.55,72.41,-1,-0.0177,no,no,no,yes,no,171,3
110,yes,no,2,5.55,72.41,-1,-0.0175,no,no,no,yes,no,171,3
110,yes,no,2,5.55,72.41,-1,-0.034,no,no,no,yes,no,171,3
110,yes,no,2,4.08,31.24,-1,-0.0036,no,no,no,yes,no,171,4
