@relation 'rec_system-weka.filters.unsupervised.attribute.Remove-V-R1,3-5,9-12,18,31,39,44,82,84,168,176,180,182-183,188,228,254,274'

@attribute Temp_max numeric
@attribute slowCool {yes,no}
@attribute pH numeric
@attribute leak {yes,no}
@attribute numberComponents numeric
@attribute orgavgpolMax numeric
@attribute orgrefractivityMax numeric
@attribute orgmaximalprojectionareaMax numeric
@attribute orgavgpol_pHdependentMax numeric
@attribute orgmaximalprojectionareaMin numeric
@attribute orgvanderwaalsMin numeric
@attribute orgASA_PMin numeric
@attribute orgASA_PGeomAvg numeric
@attribute orghbdamsaccGeomAvg numeric
@attribute Na {yes,no}
@attribute Mo {yes,no}
@attribute S {yes,no}
@attribute Se {yes,no}
@attribute Zn {yes,no}
@attribute Cr {yes,no}
@attribute PaulingElectronegMax numeric
@attribute hardnessMaxWeighted numeric
@attribute outcome {1,2}

@data
90,?,5,no,3,9.94,25.21,32.65,10.63,32.65,206.42,64.03,64.03,0,yes,no,no,yes,no,no,2.55,0.3598,2
90,?,5,no,3,14.87,38.01,45.76,15.43,45.76,340.09,16.6,16.6,0.04,yes,no,no,yes,no,no,2.55,1.1353,2
120,yes,3,no,3,14.02,36.04,43.59,14.53,43.59,275.81,13.86,13.86,0.07,yes,no,no,yes,no,no,2.55,2.3484,2
120,yes,2,no,3,14.87,38.01,45.76,15.43,45.76,340.09,16.6,16.6,0,no,no,no,yes,no,no,2.55,1.8717,2
120,yes,2,no,3,14.87,38.01,45.76,15.43,45.76,340.09,16.6,16.6,0,no,no,no,yes,no,no,2.55,2.219,2
120,yes,2,no,3,14.87,38.01,45.76,15.43,45.76,340.09,16.6,16.6,0,no,no,no,yes,no,no,2.55,2.6567,2
120,yes,2,no,3,14.87,38.01,45.76,15.43,45.76,340.09,16.6,16.6,0,no,no,no,yes,no,no,2.55,2.9602,2
120,yes,2,no,3,12.56,30.59,43.79,13.52,43.79,282.76,112.14,112.14,0,no,no,no,yes,no,no,2.55,2.2257,2
120,yes,2,no,3,12.56,30.59,43.79,13.52,43.79,282.76,112.14,112.14,0,no,no,no,yes,no,no,2.55,2.6029,2
120,yes,1,no,3,12.56,30.59,43.79,13.52,43.79,282.76,112.14,112.14,0,no,no,no,yes,no,no,2.55,3.3394,2
150,yes,1,no,3,9.94,25.21,32.62,10.53,32.62,206.5,64.07,64.07,0,yes,no,no,yes,no,no,2.55,2.3319,2
150,yes,1,no,3,9.94,25.21,32.65,10.63,32.65,206.42,64.03,64.03,0,yes,no,no,yes,no,no,2.55,2.2556,2
150,yes,1,no,3,9.94,25.21,32.65,10.63,32.65,206.42,64.03,64.03,0,yes,no,no,yes,no,no,2.55,2.3733,2
130,yes,2,no,4,11.86,29.87,39.45,12.52,39.45,229.03,36.99,36.99,0,yes,no,no,yes,no,no,2.55,2.3134,2
130,yes,1,no,4,9.88,25.21,31.16,10.62,31.16,197.94,58.29,58.29,0,yes,no,no,yes,no,no,2.55,2.2304,2
130,yes,1,no,4,9.94,25.21,32.62,10.53,32.62,206.5,64.07,64.07,0,yes,no,no,yes,no,no,2.55,2.2297,2
130,yes,2,no,4,18.04,43.32,55.87,19.47,55.87,353.93,128.75,128.75,0,yes,no,no,yes,no,no,2.55,2.2149,2
130,yes,2,no,4,24.87,61.67,72.38,26.21,72.38,405.37,104.58,104.58,0.15,yes,no,no,yes,no,no,2.55,2.2472,2
110,?,6,no,3,9.88,25.45,33.73,10.27,33.73,218.32,30.88,30.88,0.4,no,no,yes,yes,no,no,2.55,1.8842,2
110,?,6,no,3,9.73,26.34,36.07,9.73,36.07,281.27,33.93,33.93,2,no,no,yes,yes,no,no,2.55,1.9349,2
110,?,5,no,3,14.02,36.04,43.59,14.28,43.59,289.27,12.27,12.27,0.89,no,no,yes,yes,no,no,2.55,1.9961,2
110,?,6,no,3,14.87,38.01,45.76,15.15,45.76,352.79,14.69,14.69,0.32,no,no,yes,yes,no,no,2.55,1.9326,1
110,?,6,no,3,9.88,25.45,33.73,10.27,33.73,218.32,30.88,30.88,0.4,no,no,yes,yes,no,no,2.55,1.8623,2
110,?,6,no,3,9.73,26.34,36.07,9.73,36.07,281.27,33.93,33.93,2,no,no,yes,yes,no,no,2.55,1.8771,2
110,?,6,no,3,13.88,34.29,44.31,14.23,44.31,273.45,23.05,23.05,0.28,no,no,yes,yes,no,no,2.55,1.8862,2
110,?,5,no,3,14.02,36.04,43.59,14.28,43.59,289.27,12.27,12.27,0.89,no,no,yes,yes,no,no,2.55,1.9134,2
110,?,6,no,3,14.87,38.01,45.76,15.15,45.76,352.79,14.69,14.69,0.32,no,no,yes,yes,no,no,2.55,1.8714,2
90,yes,7,no,4,9.94,25.21,32.65,10.63,32.65,206.42,64.03,64.03,0.04,yes,no,no,no,no,no,2.1,0.5348,1
90,yes,7,no,4,13.33,37.45,47.62,13.33,47.62,298.21,30.99,30.99,2,yes,no,no,no,no,no,2.1,0.4015,2
90,yes,7,no,4,13.88,34.29,44.31,14.23,44.31,273.45,23.05,23.05,0.8,yes,no,no,no,no,no,2.1,0.424,2
90,yes,7,no,4,11.75,30.31,38.15,12.43,38.15,210.31,36.59,36.59,0.04,yes,no,no,no,no,no,2.1,0.3992,2
90,yes,7,no,4,11.87,30.93,41.87,11.87,41.87,324.05,27.88,27.88,2,yes,no,no,no,no,no,2.1,0.4024,2
90,yes,7,no,4,18.04,43.32,55.87,18.99,55.87,368.01,119.9,119.9,1.13,yes,no,no,no,no,no,2.1,0.4004,2
90,yes,7,no,4,9.47,25.19,29.3,9.47,29.3,239.3,0,0,0,yes,no,no,no,no,no,2.1,0.4047,2
90,yes,7,no,4,13.11,31.98,44.43,13.8,44.43,301.3,96.32,96.32,0,yes,no,no,no,no,no,2.1,0.4121,2
90,yes,7,no,4,14.02,36.04,43.59,14.28,43.59,289.27,12.27,12.27,1,yes,no,no,no,no,no,2.1,0.4007,2
90,yes,7,no,4,14.87,38.01,45.76,15.15,45.76,352.79,14.69,14.69,0.82,yes,no,no,no,no,no,2.1,0.4014,2
90,yes,7,no,4,12.56,30.59,43.79,13.24,43.79,299.78,104.8,104.8,0.81,yes,no,no,no,no,no,2.1,0.4047,2
90,yes,7,no,4,11.15,27.42,38.27,11.76,38.27,295.52,44.53,44.53,0.11,yes,no,no,no,no,no,2.1,0.3949,2
90,yes,7,no,4,17.76,43.84,59.12,18.79,59.12,346.48,143.27,143.27,1,yes,no,no,no,no,no,2.1,0.4035,2
90,yes,7,no,4,15.28,38.69,48.77,15.81,48.77,284.53,72.75,72.75,1,yes,no,no,no,no,no,2.1,0.4057,2
110,yes,7,no,3,9.88,25.45,33.73,10.27,33.73,218.32,30.88,30.88,0.87,no,no,yes,yes,no,no,2.55,2.0116,2
110,yes,7,no,3,9.88,25.45,33.73,10.27,33.73,218.32,30.88,30.88,0.87,no,no,yes,yes,no,no,2.55,1.9107,2
110,yes,7,yes,3,9.88,25.45,33.73,10.27,33.73,218.32,30.88,30.88,0.87,no,no,yes,yes,no,no,2.55,1.8879,2
110,yes,7,no,3,13.88,34.29,44.31,14.23,44.31,273.45,23.05,23.05,0.8,no,no,yes,yes,no,no,2.55,1.8929,1
110,yes,7,no,3,9.94,25.21,32.65,10.63,32.65,206.42,64.03,64.03,0.04,no,no,yes,yes,no,no,2.55,1.9497,2
110,yes,7,no,3,9.73,26.34,36.07,9.73,36.07,281.27,33.93,33.93,2,no,no,yes,yes,no,no,2.55,1.8358,2
110,yes,7,no,3,9.73,26.34,36.07,9.73,36.07,281.27,33.93,33.93,2,no,no,yes,yes,no,no,2.55,1.8848,2
110,yes,7,no,3,9.73,26.34,36.07,9.73,36.07,281.27,33.93,33.93,2,no,no,yes,yes,no,no,2.55,2.028,2
150,yes,1,no,3,33.87,88.52,87.13,34.44,87.13,402.71,22.43,22.43,1.94,yes,no,no,yes,no,no,2.55,2.2304,2
150,yes,1,no,3,33.87,88.52,87.13,34.44,87.13,402.71,22.43,22.43,1.94,yes,no,no,yes,no,no,2.55,2.2233,2
90,yes,2,no,3,13.33,37.45,47.62,13.69,47.62,294.5,31.24,31.24,1.12,no,no,yes,yes,no,no,2.55,1.8381,2
90,yes,7,no,3,13.33,37.45,47.62,13.33,47.62,298.21,30.99,30.99,2,no,no,yes,yes,no,no,2.55,1.8566,2
90,yes,7,no,3,9.94,25.21,32.65,10.63,32.65,206.42,64.03,64.03,0.04,no,no,yes,yes,no,no,2.55,1.8606,1
90,yes,2,no,3,9.73,26.34,36.07,9.73,36.07,281.27,33.93,33.93,1.27,no,no,yes,yes,no,no,2.55,1.8993,2
90,yes,2,no,3,9.88,25.45,33.73,10.57,33.73,203.38,41.81,41.81,0,no,no,yes,yes,no,no,2.55,1.8374,2
90,yes,2,no,3,11.87,30.93,41.87,12.17,41.87,310.74,45.39,45.39,1.07,no,no,yes,yes,no,no,2.55,1.8808,1
90,yes,7,no,3,11.87,30.93,41.87,11.87,41.87,324.05,27.88,27.88,2,no,no,yes,yes,no,no,2.55,1.8479,2
90,yes,4,no,3,18.04,43.32,55.87,19.47,55.87,353.93,128.75,128.75,0.08,no,no,yes,yes,no,no,2.55,1.8563,2
