Reaction number,Reactant 1 name,Reactant 1 mass (g),Reactant 2 name,Reactant 2 mass (g),Reactant 3 name,Reactant 3 mass (g),Reactant 4 name,Reactant 4 mass (g),Reactant 5 name,Reactant 5 mass (g),Temp (ºC),Time (h),Slow cool,pH (x = unknown),Leak,purity (0 = no data in notebook; 1 = multiphase; 2 = single phase),"outcome (0 = no data in notebook, 1 = no solid; 2 = noncrystalline/brown; 3 = powder/crystallites; 4 = large single crystals)",Notes
dh42.6,V2O5,0.1809,Na2TeO3,0.1138,1-mpip,0.1036,EtOH,3.987,water,5.0817,110,x,no,10,no,0,0,
dh42.7,V2O5,0.185,Na2TeO3,0.113,1-mpip,0.0958,EtOH,4.0045,water,5.0575,110,x,no,13,no,0,0,
dh42.8,V2O5,0.1834,Na2TeO3,0.1166,1-mpip,0.0962,EtOH,3.9846,water,5.0881,110,x,no,4,no,0,0,
dh42.9,V2O5,0.1836,Na2TeO3,0.117,tmed,0.1118,EtOH,3.987,water,5.2089,110,x,no,9,no,0,0,
dh42.10,V2O5,0.1825,Na2TeO3,0.1125,tmed,0.1189,EtOH,3.9869,water,5.0241,110,x,no,10,no,0,0,
dh42.11,V2O5,0.1827,Na2TeO3,0.1161,tmed,0.1131,EtOH,3.9435,water,5.0517,110,x,no,12,no,0,0,
dh42.12,V2O5,0.1923,Na2TeO3,0.1171,tmed,0.1289,EtOH,3.9693,water,5.0367,110,x,no,3,no,0,0,
dh42.13,V2O5,0.1829,Na2TeO3,0.1156,1-epip,0.1133,EtOH,3.9414,water,5.0007,110,x,no,10,no,0,0,
dh42.14,V2O5,0.1842,Na2TeO3,0.1159,1-epip,0.1528,EtOH,3.9497,water,5.0796,110,x,no,7,no,0,0,
dh42.15,V2O5,0.1835,Na2TeO3,0.117,1-epip,0.1289,EtOH,3.9664,water,5.0017,110,x,no,12,no,0,0,
dh42.16,V2O5,0.1812,Na2TeO3,0.1154,1-epip,0.1169,EtOH,3.942,water,5.0188,110,x,no,3,no,0,0,
dh44.1,V2O5,0.1846,Na2TeO3,0.1173,pip,0.0895,EtOH,3.9601,water,6.0654,180,83,no,8,no,1,4,
dh44.2,V2O5,0.1807,Na2TeO3,0.114,pip,0.0975,EtOH,3.957,water,5.1284,180,107,no,8,no,1,4,
