@relation 'rec_system-weka.filters.unsupervised.attribute.Remove-V-R5,25,60,164,172,175,180,241,274'

@attribute leak {yes,no}
@attribute orgASA_PMax numeric
@attribute orgASA+ArithAvg numeric
@attribute orgacc-waterdonratio numeric
@attribute K {yes,no}
@attribute I {yes,no}
@attribute S {yes,no}
@attribute PearsonElectronegMean numeric
@attribute outcome {1,2}

@data
yes,13.86,239.3,0,no,no,no,459.35,2
no,13.86,239.3,0,no,no,no,459.35,2
no,13.86,239.3,0,no,no,no,459.35,2
yes,36.99,211.13,0,no,no,yes,459.35,1
no,36.99,211.13,0,no,no,yes,459.35,2
no,36.99,211.13,0,no,no,yes,459.35,2
no,36.99,211.13,0,no,no,yes,459.35,2
no,36.99,211.13,0,no,no,yes,459.35,2
no,36.99,211.13,0,no,no,yes,459.35,2
no,36.99,211.13,0,no,no,yes,459.35,2
no,13.86,239.3,0,no,no,yes,459.35,2
no,13.86,239.3,0,no,no,yes,459.35,2
no,32.37,222.38,0,no,no,yes,459.35,2
no,32.37,222.38,0,no,no,yes,459.35,2
no,13.86,239.3,0,no,no,yes,459.35,2
no,13.86,239.3,0,no,no,yes,459.35,2
no,17.76,211.8,0,no,no,yes,459.35,2
no,17.76,211.8,0,no,no,yes,459.35,2
no,33.93,216.3,-0.004,no,no,no,327.3,2
no,31.24,268.62,-0.0043,no,no,no,350.7,2
yes,64.03,188.71,0,no,no,no,350.7,1
no,16.6,267.29,0,no,no,no,350.7,2
no,33.93,216.3,-0.0043,no,no,no,350.7,1
yes,16.6,267.29,0,no,no,no,350.7,2
no,32.37,222.38,0,no,no,no,350.7,1
no,59.99,244.65,-0.0019,no,no,no,459.35,1
no,33.93,216.3,-0.0035,no,no,no,459.35,2
no,33.93,216.3,-0.0035,no,no,no,459.35,1
no,33.93,216.3,-0.0038,no,no,no,459.35,1
no,33.93,216.3,-0.0035,no,no,no,459.35,2
no,33.93,216.3,-0.0036,no,no,no,459.35,2
no,16.6,267.29,0,no,no,no,350.7,2
yes,14.69,269.11,-0.0032,no,no,no,350.7,2
no,16.6,267.29,0,no,no,no,459.35,2
yes,33.93,216.3,-0.004,no,no,no,459.35,2
no,64.03,188.71,0,no,no,no,459.35,2
no,30.99,211.47,-0.0057,no,no,no,459.35,2
no,72.41,261.51,0,no,no,no,459.35,1
no,17.76,211.8,0,no,no,no,459.35,2
yes,44.53,244.26,0,no,no,no,459.35,2
no,33.93,216.3,-0.0036,no,no,no,459.35,2
no,28.21,215.51,-0.0014,no,no,no,459.35,2
no,28.21,215.51,-0.0014,no,no,no,459.35,2
no,28.21,215.51,-0.0014,no,no,no,459.35,2
no,16.6,267.29,0,no,no,no,459.35,2
no,33.93,216.3,-0.0028,no,no,no,459.35,2
no,64.03,188.71,0,no,no,no,459.35,2
no,32.37,222.38,0,no,no,no,459.35,2
no,44.53,244.26,0,no,no,no,459.35,2
no,33.93,216.3,-0.0027,no,no,no,459.35,2
no,31.24,268.62,-0.0035,no,no,no,459.35,2
no,32.37,222.38,0,no,no,no,459.35,2
no,44.53,244.26,0,no,no,no,459.35,2
yes,36.59,193.85,0,no,no,no,459.35,1
yes,32.37,222.38,0,no,no,no,459.35,1
no,13.86,239.3,0,no,no,no,459.35,2
no,45.39,287.07,-0.0034,no,no,no,459.35,2
no,31.24,268.62,-0.0031,no,no,no,459.35,2
no,64.03,188.71,0,no,no,no,459.35,2
no,50.03,296.97,-0.002,no,no,no,459.35,1
no,90.41,196.83,-0.0005,no,no,no,459.35,1
no,112.14,265.65,0,no,no,no,459.35,2
no,128.75,337.12,0,no,no,no,459.35,1
no,104.58,358.69,-0.0003,no,no,no,459.35,2
no,27.89,220.5,0,no,no,no,459.35,2
no,59.99,244.65,-0.0025,no,no,no,459.35,2
no,27.25,224.12,-0.0031,no,no,no,440.25,2
no,12.27,244.99,-0.0025,no,no,no,440.25,2
no,96.39,258.26,0,no,no,no,440.25,2
no,14.69,269.11,-0.0036,no,no,no,440.25,2
no,23.05,228.83,-0.0035,no,no,no,440.25,2
no,96.38,194.24,-0.0001,no,no,no,440.25,2
no,96.02,225.91,0,no,no,no,440.25,2
no,96.02,225.91,0,no,no,no,440.25,2
no,96.32,233.22,0,no,no,no,440.25,2
no,96.32,233.22,0,no,no,no,440.25,2
no,96.34,282.95,0,no,no,no,440.25,2
no,96.34,282.95,0,no,no,no,440.25,2
no,96.36,307.78,0,no,no,no,440.25,2
no,96.36,307.78,0,no,no,no,440.25,2
no,32.37,222.38,0,no,no,no,459.35,2
no,32.37,222.38,0,no,no,no,350.7,2
no,45.39,287.07,-0.0021,no,no,no,459.35,2
no,45.39,287.07,-0.0021,no,no,no,350.7,2
no,59.99,244.65,-0.0023,no,no,no,350.7,1
no,59.99,244.65,-0.0027,no,no,no,350.7,2
no,16.6,267.29,0,no,no,no,459.35,2
