@relation 'rec_system-weka.filters.unsupervised.attribute.Remove-V-R4-5,7,10,13,15-16,20,25,27,33-35,44,49,71,100,170,174,180,185,188,228,239,258,261,274'

@attribute pH numeric
@attribute leak {yes,no}
@attribute numberOrg numeric
@attribute orgavgpolMax numeric
@attribute orgmaximalprojectionradiusMax numeric
@attribute orgminimalprojectionareaMax numeric
@attribute orgminimalprojectionradiusMax numeric
@attribute orgvanderwaalsMax numeric
@attribute orgASA_PMax numeric
@attribute orghbdamsaccMax numeric
@attribute orgmaximalprojectionsizeMin numeric
@attribute orgminimalprojectionareaMin numeric
@attribute orgminimalprojectionradiusMin numeric
@attribute orgASA_PMin numeric
@attribute orgrefractivityArithAvg numeric
@attribute orgmaximalprojectionsizeGeomAvg numeric
@attribute oxlikeASA_HMax numeric
@attribute Te {yes,no}
@attribute F {yes,no}
@attribute S {yes,no}
@attribute Cl {yes,no}
@attribute Cr {yes,no}
@attribute PaulingElectronegMax numeric
@attribute EAMean numeric
@attribute PaulingElectronegMinWeighted numeric
@attribute AtomicRadiusMinWeighted numeric
@attribute outcome {1,2}

@data
5,no,1,9.73,4.05,20.35,3.12,281.27,33.93,2,5.18,20.35,3.12,33.93,26.34,5.18,-1,no,no,no,no,no,2.55,122.8,0.0019,0.1023,2
5,no,1,13.33,4.77,23.42,3.62,298.21,30.99,1.99,4.08,23.42,3.62,30.99,37.45,4.08,-1,no,no,no,no,no,2.55,122.8,0.002,0.2062,2
5,no,1,13.33,4.77,23.42,3.62,298.21,30.99,1.99,4.08,23.42,3.62,30.99,37.45,4.08,-1,no,no,no,no,no,2.55,122.8,0.002,0.1395,2
5,no,1,9.94,3.84,23.28,3.21,206.42,64.03,0,5.69,23.28,3.21,64.03,25.21,5.69,-1,no,no,no,yes,no,2.55,122.8,0.002,0.0983,2
5,no,1,14.87,5.19,28.56,3.83,340.09,16.6,0.04,5.88,28.56,3.83,16.6,38.01,5.88,-1,no,no,no,no,no,2.55,122.8,0.002,0.2076,2
3,no,1,14.02,4.69,26.44,3.33,275.81,13.86,0.07,5.25,26.44,3.33,13.86,36.04,5.25,-1,no,no,no,no,no,2.55,122.8,0.0017,0.1785,2
2,no,1,14.87,5.19,28.56,3.83,340.09,16.6,0,5.88,28.56,3.83,16.6,38.01,5.88,-1,no,no,no,no,no,2.55,122.8,0.0017,0.175,2
2,no,1,14.87,5.19,28.56,3.83,340.09,16.6,0,5.88,28.56,3.83,16.6,38.01,5.88,-1,no,no,no,no,no,2.55,122.8,0.0016,0.1702,2
2,no,1,14.87,5.19,28.56,3.83,340.09,16.6,0,5.88,28.56,3.83,16.6,38.01,5.88,-1,no,no,no,no,no,2.55,122.8,0.0016,0.1652,2
2,no,1,14.87,5.19,28.56,3.83,340.09,16.6,0,5.88,28.56,3.83,16.6,38.01,5.88,-1,no,no,no,no,no,2.55,122.8,0.0016,0.1718,2
