Base Features,ChemAxon,Feature Selection,BCR Weighted,Model,TP,FP,FN,TN,Accuracy,BCR,Matthews
legacy,False,Postive Variance,False,J48,0.6269224285294293,0.12052276725068993,0.10330121004025708,0.1492535941796237,0.776176022709053,0.7058920862740954,0.4206608021875322
legacy,False,Postive Variance,True,KNN,0.6130250036392036,0.12988234734604398,0.11719863493048269,0.13989401408426966,0.7529190177234732,0.6790292932960027,0.3636401480182686
legacy,False,Postive Variance,False,KNN,0.6130250036392036,0.12988234734604398,0.11719863493048269,0.13989401408426966,0.7529190177234732,0.6790292932960027,0.3636401480182686
legacy,False,Postive Variance,True,LogisticRegression,0.5191328529178093,0.15823431962033407,0.21109078565187706,0.11154204180997951,0.6306748947277888,0.5621921198186438,0.11809428909037999
legacy,False,Postive Variance,False,LogisticRegression,0.6522434988276691,0.08451260804494908,0.07798013974201727,0.18526375338536458,0.8375072522130337,0.789970734355868,0.5844845419284128
legacy,False,Postive Variance,True,NaiveBayes,0.22860377161136078,0.20316898679616985,0.5016198669583255,0.06660737463414385,0.2952111462455046,0.2799792141051803,-0.3943074232481488
legacy,False,Postive Variance,False,NaiveBayes,0.280637399394464,0.18861287977586602,0.44958623917522245,0.08116348165444762,0.3618008810489116,0.3425858696897587,-0.2799989761005809
legacy,False,Postive Variance,True,RandomForest,0.6327545950783627,0.12037300266773727,0.09746904349132361,0.14940335876257635,0.7821579538409391,0.7101630692287801,0.4326589934187363
legacy,False,Postive Variance,False,RandomForest,0.6697950525355846,0.09078663842918883,0.06042858603410194,0.17898972300112484,0.8487847755367094,0.7903604584168074,0.6040122496815317
legacy,False,Postive Variance,True,SVM_PUK,0.5935708228569345,0.14788557158368654,0.13665281571275187,0.12189078984662707,0.7154616127035616,0.6323416511096622,0.2683160961742168
legacy,False,Postive Variance,False,SVM_PUK,0.6632828420195563,0.09756764462556257,0.06694079655013013,0.17220871680475103,0.8354915588243074,0.7733335776029473,0.5688116197542855
new + legacy,False,CFS,True,J48,0.5843700731089567,0.15351602531105257,0.14968760523825342,0.11242629634173731,0.696796369450694,0.609414436540778,0.21984862458694812
new + legacy,False,CFS,False,J48,0.6613045920338195,0.11371380980596277,0.0727530863133904,0.1522285118468271,0.8135331038806466,0.7366504499741396,0.5008026809369349
new + legacy,False,CFS,True,KNN,0.6109080090748266,0.1298917917799351,0.12314966927238362,0.13605052987285482,0.7469585389476814,0.6719067141611471,0.3466678458488205
new + legacy,False,CFS,False,KNN,0.6109080090748266,0.1298917917799351,0.12314966927238362,0.13605052987285482,0.7469585389476814,0.6719067141611471,0.3466678458488205
new + legacy,False,CFS,True,LogisticRegression,0.4438719113853607,0.14676967751379935,0.2901857669618495,0.11917264413899056,0.5630445555243513,0.5263986172654798,0.04744125016723584
new + legacy,False,CFS,False,LogisticRegression,0.7111990290736101,0.03777416271937586,0.022858649273600117,0.22816815893341408,0.9393671880070242,0.9134104717068003,0.8425139509658625
new + legacy,False,CFS,True,NaiveBayes,0.44931470562446685,0.09898171645926174,0.2847429727227432,0.16696060519352818,0.616275310817995,0.6199524278477203,0.2129920471619976
new + legacy,False,CFS,False,NaiveBayes,0.5999189593714722,0.04926749391442001,0.134138718975738,0.2166748277383699,0.8165937871098421,0.8160038742304783,0.5851380250517942
new + legacy,False,CFS,True,RandomForest,0.6229313816510106,0.14316484175113606,0.11112629669619967,0.12277747990165379,0.7457088615526644,0.6551416257674165,0.3238596759427916
new + legacy,False,CFS,False,RandomForest,0.6656888462023407,0.11615361315154953,0.06836883214486945,0.14978870850124038,0.8154775547035811,0.7350496733078495,0.5029255828627907
new + legacy,False,CFS,True,SVM_PUK,0.5498109091733397,0.1455340012758958,0.18424676917387045,0.1204083203768941,0.6702192295502338,0.600881680159586,0.19368534616973376
new + legacy,False,CFS,False,SVM_PUK,0.6800736994042877,0.06569173987865488,0.05398397894292236,0.20025058177413504,0.8803242811784228,0.8397215669585227,0.6894352971608607
new,True,Postive Info,True,J48,0.545974484978034,0.1559302103657566,0.18014050623554226,0.11795479842066699,0.663929283398701,0.5912922918339485,0.17800585869039673
new,True,Postive Info,False,J48,0.6213515233267926,0.13121476727365494,0.10476346788678383,0.14267024151276864,0.7640217648395612,0.6883167408976019,0.38922788283276866
new,True,Postive Info,True,KNN,0.6028712734006502,0.11227640262379344,0.1232437178129264,0.16160860616263012,0.7644798795632803,0.710164880902902,0.4153069746967266
new,True,Postive Info,False,KNN,0.6028712734006502,0.11227640262379344,0.1232437178129264,0.16160860616263012,0.7644798795632803,0.710164880902902,0.4153069746967266
new,True,Postive Info,True,LogisticRegression,0.5020365859599724,0.1388127657904069,0.22407840525360406,0.13507224299601667,0.637108828955989,0.5922861502892491,0.17156830309296764
new,True,Postive Info,False,LogisticRegression,0.5866085113962018,0.09241516803806381,0.1395064798173745,0.18146984074835978,0.7680783521445617,0.7352247508783556,0.4493873968284774
new,True,Postive Info,True,NaiveBayes,0.4642410731012697,0.13323138232761078,0.2618739181123067,0.1406536264588128,0.6048946995600826,0.5764495875078941,0.13903854947909275
new,True,Postive Info,False,NaiveBayes,0.46746746101628517,0.13266790252754448,0.2586475301972912,0.1412171062588791,0.6086845672751643,0.5796999453829439,0.14510879771119914
