Base Features,ChemAxon,Feature Selection,BCR Weighted,Model,TP,FP,FN,TN,Accuracy,BCR,Matthews
legacy,False,CFS,False,LogisticRegression,0.6876884399941573,0.22777650531214827,0.037975834064089435,0.046559220629605005,0.7342476606237623,0.5586918509241859,0.18826846347812923
legacy,False,CFS,True,NaiveBayes,0.3299256297267526,0.11964495393998277,0.3957386443314942,0.15469077200177056,0.48461640172852316,0.5092636110004696,0.016617649691002486
legacy,False,CFS,False,NaiveBayes,0.6881797438691872,0.22890322016905426,0.03748453018905932,0.04543250577269904,0.7336122496418863,0.5569768381551102,0.18437889103740018
legacy,False,CFS,True,RandomForest,0.5815515371895146,0.12166978363109789,0.14411273686873233,0.15266594231065542,0.73421747950017,0.6789494424213629,0.3495481732939099
legacy,False,CFS,False,RandomForest,0.6199779756823565,0.15194555546345573,0.10568629837589022,0.12239017047829757,0.742368146160654,0.6502460275980517,0.3195322290637742
legacy,False,CFS,True,SVM_PUK,0.46804732803111604,0.10214930064931951,0.25761694602713076,0.17218642529243375,0.6402337533235498,0.6363200607057193,0.24572627112882103
legacy,False,CFS,False,SVM_PUK,0.67250837554379,0.20860248301138867,0.05315589851445678,0.0657332429303646,0.7382416184741546,0.5831786972239846,0.22933207092392852
new,True,Postive Variance,True,J48,0.5837995362971068,0.1362249018320894,0.14480001384049507,0.13517554803030876,0.7189750843274155,0.6496646667116656,0.29645947051638916
new,True,Postive Variance,False,J48,0.6258324575057955,0.1556553280907785,0.1027670926318062,0.11574512177161969,0.7415775792774152,0.6427130765327866,0.3071457701424924
new,True,Postive Variance,True,KNN,0.6123116594643065,0.17437437093249739,0.11628789067329533,0.09702607892990081,0.7093377383942073,0.5989484353323333,0.2148217696158385
new,True,Postive Variance,False,KNN,0.6123116594643065,0.17437437093249739,0.11628789067329533,0.09702607892990081,0.7093377383942073,0.5989484353323333,0.2148217696158385
new,True,Postive Variance,True,LogisticRegression,0.4877823052361069,0.1293390020875027,0.2408172449014949,0.1420614477748955,0.6298437530110024,0.5964588983229477,0.17648433145632247
new,True,Postive Variance,False,LogisticRegression,0.5835128878263833,0.17056365987929956,0.1450866623112185,0.10083678998309863,0.684349677809482,0.5862057935116595,0.17803627125725247
new,True,Postive Variance,True,NaiveBayes,0.5096576528905804,0.15876781776031368,0.21894189724702134,0.11263263210208453,0.6222902849926649,0.5572542189867297,0.10816086335931169
new,True,Postive Variance,False,NaiveBayes,0.5116216398619385,0.15982550042637791,0.21697791027566324,0.11157494943602025,0.6231965892979587,0.5566534364723028,0.10727473365383185
new,True,Postive Variance,True,RandomForest,0.5672599228335358,0.1656012241785387,0.161339627304066,0.10579922568385951,0.6730591485173952,0.584194504551193,0.1692326265269456
new,True,Postive Variance,False,RandomForest,0.6485668271361938,0.20263035212311598,0.08003272300140783,0.06877009773928226,0.7173369248754761,0.5717725874718915,0.17935672286802964
new,True,Postive Variance,True,SVM_PUK,0.7062915708987992,0.24733522589822082,0.022307979238802445,0.024065223964177353,0.7303567948629766,0.5290264624891686,0.122758356805992
new,True,Postive Variance,False,SVM_PUK,0.7179030021398328,0.26148921861691904,0.010696547997768964,0.009911231245479206,0.727814233385312,0.5109189381192039,0.06835435814685412
legacy,False,Postive Variance,True,J48,0.568408438138025,0.11524896739899419,0.16181520043166142,0.15452739403131946,0.7229358321693444,0.6756006770528699,0.33518762376561273
legacy,False,Postive Variance,False,J48,0.6269224285294293,0.1492535941796237,0.10330121004025708,0.12052276725068993,0.7474451957801191,0.6526427452706671,0.3250892723953494
legacy,False,Postive Variance,True,KNN,0.6130250036392036,0.13989401408426966,0.11719863493048269,0.12988234734604398,0.7429073509852476,0.6604738003589171,0.3302708396871878
