Base Features,ChemAxon,Feature Selection,BCR Weighted,Model,TP,FP,FN,TN,Accuracy,BCR,Matthews
legacy,False,CFS,True,LogisticRegression,0.556048906048906,0.15289575289575288,0.1763835263835264,0.1146718146718147,0.6707207207207206,0.5938762959058161,0.18297531582106638
legacy,False,CFS,False,LogisticRegression,0.7136422136422137,0.24414414414414415,0.01879021879021879,0.023423423423423427,0.7370656370656371,0.5309437726411896,0.13625204831856488
legacy,False,CFS,True,NaiveBayes,0.35566280566280567,0.11537966537966536,0.3767696267696267,0.15218790218790218,0.5078507078507078,0.5271871766336711,0.04822299595049929
legacy,False,CFS,False,NaiveBayes,0.6864221364221363,0.19671814671814666,0.04601029601029601,0.07084942084942084,0.7572715572715571,0.6009861397315271,0.27832038936448983
legacy,False,CFS,True,RandomForest,0.5915057915057915,0.10263835263835265,0.14092664092664092,0.16492921492921492,0.7564350064350065,0.711996524727152,0.40735778813404006
legacy,False,CFS,False,RandomForest,0.6338481338481338,0.1305019305019305,0.09858429858429858,0.13706563706563707,0.7709137709137708,0.6888335117117405,0.3939397165371838
legacy,False,CFS,True,SVM_PUK,0.56010296010296,0.11866151866151867,0.17232947232947235,0.1489060489060489,0.7090090090090089,0.6606168875541569,0.30454423711011175
legacy,False,CFS,False,SVM_PUK,0.6905405405405406,0.19665379665379665,0.041891891891891894,0.07091377091377092,0.7614543114543115,0.6039178465377728,0.2908344318813651
new,True,Postive Variance,True,J48,0.6250321750321751,0.05643500643500643,0.12007722007722009,0.19845559845559846,0.8234877734877736,0.8087187259474495,0.5775376981410877
new,True,Postive Variance,False,J48,0.67998712998713,0.08674388674388675,0.06512226512226511,0.16814671814671814,0.8481338481338481,0.7861411478906992,0.5897218646709665
new,True,Postive Variance,True,KNN,0.6498069498069498,0.08153153153153152,0.0953024453024453,0.17335907335907336,0.8231660231660232,0.7761136579534562,0.542928792166395
new,True,Postive Variance,False,KNN,0.6415701415701415,0.09028314028314029,0.09337194337194336,0.17477477477477477,0.8163449163449162,0.7661683385271876,0.5303774870396908
new,True,Postive Variance,True,LogisticRegression,0.583976833976834,0.06660231660231661,0.16113256113256114,0.1882882882882883,0.7722651222651222,0.7612243927040698,0.47753606832299705
new,True,Postive Variance,False,LogisticRegression,0.6694337194337194,0.12619047619047616,0.0655083655083655,0.13886743886743885,0.8083011583011583,0.7173897599730834,0.47587982736194306
new,True,Postive Variance,True,NaiveBayes,0.47586872586872586,0.13114543114543115,0.26924066924066925,0.12374517374517376,0.5996138996138997,0.5620698258490967,0.11076679595934878
new,True,Postive Variance,False,NaiveBayes,0.5157657657657658,0.14453024453024452,0.21917631917631916,0.12052767052767054,0.6362934362934364,0.5782497237267469,0.14584451328630554
new,True,Postive Variance,True,RandomForest,0.6117760617760618,0.08236808236808238,0.13333333333333333,0.17252252252252254,0.7842985842985843,0.748952319662002,0.47092297024298985
new,True,Postive Variance,False,RandomForest,0.6584942084942085,0.11795366795366793,0.07644787644787644,0.1471042471042471,0.8055984555984556,0.7254850812443288,0.4777483577249921
new,True,Postive Variance,True,SVM_PUK,0.6415701415701415,0.07123552123552125,0.10353925353925354,0.18365508365508365,0.8252252252252251,0.7907833303197409,0.5601610774081197
new,True,Postive Variance,False,SVM_PUK,0.6868082368082367,0.11840411840411841,0.048133848133848134,0.14665379665379666,0.8334620334620333,0.7438981220178542,0.5436250754717551
legacy,False,Postive Variance,True,J48,0.6053410553410554,0.06724581724581725,0.1285070785070785,0.19890604890604893,0.8042471042471043,0.7861132152212362,0.5389066354123077
