@relation 'rec_system-weka.filters.unsupervised.attribute.Remove-V-R2,58,64,103,168,180,197,238,274'

@attribute time numeric
@attribute orgvanderwaalsArithAvg numeric
@attribute orgpolarsurfaceareaArithAvg numeric
@attribute oxlikehbdamsaccMax numeric
@attribute Na {yes,no}
@attribute S {yes,no}
@attribute P5 {yes,no}
@attribute IonizationMean numeric
@attribute outcome {1,2}

@data
24,273.23,27.03,-1,no,yes,no,795.95,2
24,281.27,25.78,8.3,yes,no,no,795.95,2
24,281.27,25.78,8.3,yes,no,no,795.95,2
24,281.27,25.78,8.3,yes,no,no,795.95,1
24,273.23,27.03,8.04,yes,no,no,795.95,2
24,273.23,27.03,-1,no,yes,no,795.95,2
24,281.27,25.78,-1,no,yes,no,795.95,2
24,273.23,27.03,-1,no,yes,no,795.95,1
24,273.23,27.03,-1,no,yes,no,795.95,2
24,281.27,25.78,-1,no,yes,no,795.95,1
24,295.52,33.22,-1,no,no,no,795.95,2
24,295.52,33.22,-1,no,no,no,795.95,2
24,295.52,33.22,-1,no,no,no,795.95,2
24,281.27,25.78,-1,no,no,no,795.95,2
24,281.27,25.78,-1,no,yes,no,795.95,2
24,281.27,25.78,-1,no,yes,no,795.95,2
24,281.27,25.78,-1,no,yes,no,795.95,1
24,281.27,25.78,-1,no,yes,no,795.95,1
24,281.27,25.78,-1,no,yes,no,795.95,2
24,295.52,33.22,-1,no,no,no,650.9,2
24,295.52,33.22,-1,no,no,no,650.9,2
24,295.52,33.22,-1,no,no,no,650.9,2
24,295.52,33.22,-1,no,no,no,795.95,2
24,281.27,25.78,-1,no,yes,no,795.95,2
24,281.27,25.78,-1,no,yes,no,795.95,2
24,281.27,25.78,-1,no,yes,no,795.95,2
24,258.23,33.22,-1,no,yes,no,795.95,2
24,281.27,25.78,-1,no,yes,no,795.95,2
24,281.27,25.78,-1,no,yes,no,795.95,1
24,281.27,25.78,-1,no,yes,no,795.95,2
24,275.81,8.88,-1,yes,no,no,795.95,2
24,275.81,8.88,-1,yes,no,no,795.95,2
24,275.81,8.88,-1,yes,no,no,795.95,2
24,275.81,8.88,-1,no,yes,no,795.95,2
24,275.81,8.88,-1,no,yes,no,795.95,2
24,275.81,8.88,-1,yes,no,no,795.95,2
24,275.81,8.88,-1,yes,no,no,795.95,2
24,275.81,8.88,-1,yes,no,no,795.95,2
24,275.81,8.88,-1,yes,no,no,795.95,2
24,275.81,8.88,-1,yes,no,no,795.95,2
24,275.81,8.88,-1,yes,no,no,795.95,2
24,229.03,33.22,-1,no,yes,no,795.95,1
24,229.03,33.22,-1,no,yes,no,795.95,2
24,229.03,33.22,-1,no,yes,no,795.95,2
