@relation 'rec_system-weka.filters.unsupervised.attribute.Remove-V-R5,16,25,32,80,170,172,174,180,230,274'

@attribute leak {yes,no}
@attribute orgminimalprojectionradiusMax numeric
@attribute orgASA_PMax numeric
@attribute orgmaximalprojectionradiusMin numeric
@attribute orgASA-GeomAvg numeric
@attribute Te {yes,no}
@attribute K {yes,no}
@attribute F {yes,no}
@attribute S {yes,no}
@attribute hardnessMax numeric
@attribute outcome {1,2,3,4}

@data
no,3.83,14.69,5.19,83.69,no,no,no,yes,373,1
no,2.92,104.8,5.74,52.63,no,no,no,yes,373,3
no,3.57,30.88,3.6,12.91,no,no,no,yes,373,4
no,3.12,33.93,4.05,64.97,no,no,no,yes,373,4
no,3.42,23.05,4.66,44.62,no,no,no,yes,373,4
no,3.33,12.27,4.69,44.29,no,no,no,yes,373,4
no,3.41,27.25,4.12,29.41,no,no,no,yes,373,4
no,3.36,17.76,3.56,0,no,no,no,yes,373,4
no,3.83,14.69,5.19,83.69,no,no,no,yes,373,3
no,2.92,104.8,5.74,52.63,no,no,no,yes,373,2
no,3.21,64.03,3.84,17.71,yes,no,no,no,339.6,2
no,3.12,33.93,4.05,64.97,yes,no,no,no,339.6,3
no,3.62,30.99,4.77,86.74,yes,no,no,no,339.6,3
no,3.42,23.05,4.66,44.62,yes,no,no,no,339.6,3
no,3.57,30.88,3.6,12.91,yes,no,no,no,339.6,3
no,3.62,36.59,3.76,16.46,yes,no,no,no,339.6,4
no,3.38,27.88,4.38,87.65,yes,no,no,no,339.6,3
no,3.36,13.98,3.56,4.96,yes,no,no,no,339.6,3
no,3.44,119.9,6.48,37.22,yes,no,no,no,339.6,3
no,3.06,0,3.66,106.35,yes,no,no,no,339.6,3
no,2.88,96.38,4.58,43.33,yes,no,no,no,339.6,3
no,2.94,96.32,5.81,68.08,yes,no,no,no,339.6,3
no,2.94,96.39,6.31,75.36,yes,no,no,no,339.6,3
no,3.41,27.25,4.12,29.41,yes,no,no,no,339.6,3
no,3.33,12.27,4.69,44.29,yes,no,no,no,339.6,3
no,3.83,14.69,5.19,83.69,yes,no,no,no,339.6,3
no,2.92,104.8,5.74,52.63,yes,no,no,no,339.6,3
no,2.62,44.53,5.06,51.26,yes,no,no,no,339.6,3
no,4.81,143.27,5.4,53.09,yes,no,no,no,339.6,4
no,3.47,72.75,5.4,25.52,yes,no,no,no,339.6,4
no,3.57,30.88,3.6,12.91,no,no,no,yes,373,4
no,3.57,30.88,3.6,12.91,no,no,no,yes,373,4
no,3.57,30.88,3.6,12.91,no,no,no,yes,373,4
yes,3.57,30.88,3.6,12.91,no,no,no,yes,373,4
no,3.42,23.05,4.66,44.62,no,no,no,yes,373,2
no,3.42,23.05,4.66,44.62,no,no,no,yes,373,3
no,3.21,64.03,3.84,17.71,no,no,no,yes,373,3
no,3.21,64.03,3.84,17.71,no,no,no,yes,373,3
no,3.12,33.93,4.05,64.97,no,no,no,yes,373,4
no,3.12,33.93,4.05,64.97,no,no,no,yes,373,4
no,3.12,33.93,4.05,64.97,no,no,no,yes,373,4
no,3.12,33.93,4.05,64.97,no,no,no,yes,373,3
no,3.48,41.06,4.16,16.47,no,no,no,no,373,4
no,4.69,22.43,6.83,77.73,no,no,no,no,373,4
