@relation 'rec_system-weka.filters.unsupervised.attribute.Remove-V-R1-3,5,9,14,24,33,39,94-95,101,170-172,174,178-180,183,185,224,256,259-260,274'

@attribute Temp_max numeric
@attribute time numeric
@attribute slowCool {yes,no}
@attribute leak {yes,no}
@attribute numberComponents numeric
@attribute orgmaximalprojectionsizeMax numeric
@attribute orgASA_HMax numeric
@attribute orgmaximalprojectionsizeMin numeric
@attribute orgvanderwaalsMin numeric
@attribute oxlikeavgpol_pHdependentMax numeric
@attribute oxlikemolpolMax numeric
@attribute oxlikeASA_PMax numeric
@attribute Te {yes,no}
@attribute Br {yes,no}
@attribute K {yes,no}
@attribute F {yes,no}
@attribute N {yes,no}
@attribute P {yes,no}
@attribute S {yes,no}
@attribute Zn {yes,no}
@attribute Cl {yes,no}
@attribute V6 {yes,no}
@attribute IonizationMinWeighted numeric
@attribute PearsonElectronegMinWeighted numeric
@attribute hardnessMinWeighted numeric
@attribute outcome {1,2,3,4}

@data
90,24,?,no,3,4.08,267.23,4.08,298.21,-1,-1,-1,no,no,no,no,yes,no,no,no,no,yes,0.7847,0.4228,0.3618,4
90,24,?,no,3,4.08,267.23,4.08,298.21,-1,-1,-1,no,no,no,no,yes,no,no,no,no,yes,0.7895,0.4254,0.364,3
90,24,?,no,3,5.69,142.39,5.69,206.42,-1,-1,-1,no,no,no,no,yes,no,no,no,yes,yes,0.781,0.4208,0.3601,4
90,24,?,no,3,5.69,142.39,5.69,206.42,-1,-1,-1,no,no,no,no,yes,no,no,no,yes,yes,0.7805,0.4205,0.3561,4
90,24,?,no,3,5.88,323.49,5.88,340.09,-1,-1,-1,no,no,no,no,yes,no,no,no,no,yes,0.7901,0.4257,0.3643,4
90,24,?,no,3,5.88,323.49,5.88,340.09,-1,-1,-1,no,no,no,no,yes,no,no,no,no,yes,0.7949,0.4283,0.3665,4
120,60,?,no,3,5.25,261.95,5.25,275.81,-1,-1,-1,no,no,no,no,yes,no,no,no,no,yes,0.678,0.3653,0.3126,4
120,60,yes,no,3,5.25,261.95,5.25,275.81,-1,-1,-1,no,no,no,no,yes,no,no,no,no,yes,0.6796,0.3661,0.3133,4
120,60,yes,no,3,5.88,323.49,5.88,340.09,-1,-1,-1,no,no,no,no,yes,no,no,no,no,yes,0.666,0.3589,0.3071,3
120,60,yes,no,3,5.88,323.49,5.88,340.09,-1,-1,-1,no,no,no,no,yes,no,no,no,no,yes,0.6477,0.349,0.2986,3
120,60,yes,no,3,5.88,323.49,5.88,340.09,-1,-1,-1,no,no,no,no,yes,no,no,no,no,yes,0.6288,0.3388,0.2899,3
120,60,yes,no,3,5.88,323.49,5.88,340.09,-1,-1,-1,no,no,no,no,yes,no,no,no,no,yes,0.6538,0.3523,0.3014,3
120,60,yes,no,3,5.88,323.49,5.88,340.09,-1,-1,-1,no,no,no,no,yes,no,no,no,no,yes,0.6432,0.3466,0.2966,4
120,60,yes,no,3,5.4,170.62,5.4,282.76,-1,-1,-1,no,no,no,no,yes,no,no,no,no,yes,0.6621,0.3568,0.3053,3
120,60,yes,no,3,5.4,170.62,5.4,282.76,-1,-1,-1,no,no,no,no,yes,no,no,no,no,yes,0.6683,0.3601,0.3081,3
120,60,yes,no,3,5.4,170.62,5.4,282.76,-1,-1,-1,no,no,no,no,yes,no,no,no,no,yes,0.641,0.3454,0.2955,3
120,60,yes,no,3,5.4,170.62,5.4,282.76,-1,-1,-1,no,no,no,no,yes,no,no,no,no,yes,0.6354,0.3424,0.293,4
120,60,yes,no,3,5.4,170.62,5.4,282.76,-1,-1,-1,no,no,no,no,yes,no,no,no,no,yes,0.6393,0.3445,0.2948,4
150,20,yes,no,3,5.04,142.43,5.04,206.5,-1,-1,-1,no,no,no,no,yes,no,no,no,yes,yes,0.6502,0.3503,0.2998,4
150,20,yes,no,3,5.44,139.65,5.44,197.94,-1,-1,-1,no,no,no,no,yes,no,no,no,no,yes,0.6481,0.3492,0.2988,3
150,20,yes,no,3,5.69,142.39,5.69,206.42,-1,-1,-1,no,no,no,no,yes,no,no,no,yes,yes,0.655,0.3529,0.302,4
150,20,yes,no,3,5.69,142.39,5.69,206.42,-1,-1,-1,no,no,no,no,yes,no,no,no,yes,yes,0.6433,0.3466,0.2966,4
130,20,yes,no,4,5.54,192.04,5.54,229.03,5.84,5.75,220.06,no,no,no,no,yes,no,no,no,no,yes,0.6433,0.3466,0.2966,4
130,20,yes,no,4,5.54,192.04,5.54,229.03,5.84,5.75,220.06,no,no,no,no,yes,no,no,no,no,yes,0.6353,0.3423,0.2929,4
130,20,yes,no,4,5.44,139.65,5.44,197.94,6.23,5.87,211.65,no,no,no,no,yes,no,no,no,no,yes,0.67,0.361,0.3089,4
130,20,yes,no,4,5.04,142.43,5.04,206.5,6.23,5.87,211.65,no,no,no,no,yes,no,no,no,yes,yes,0.6577,0.3544,0.3032,4
130,20,yes,no,4,4.91,250.99,4.91,295.52,5.84,5.75,220.06,no,no,no,no,yes,no,no,no,no,yes,0.7036,0.3791,0.3244,4
130,20,yes,no,4,5.93,225.18,5.93,353.93,5.84,5.75,220.06,no,no,no,no,yes,no,no,no,no,yes,0.6956,0.3748,0.3207,4
130,20,yes,no,4,5.73,188.78,5.73,331.52,5.84,5.75,220.06,no,no,no,no,yes,no,no,no,no,yes,0.6406,0.3452,0.2954,4
130,20,yes,no,4,7.39,300.79,7.39,405.37,5.84,5.75,220.06,no,no,no,no,yes,no,no,no,no,yes,0.6353,0.3423,0.2929,3
110,72,?,no,3,5.56,187.44,5.56,218.32,-1,-1,-1,no,no,no,no,yes,no,yes,no,no,yes,1.3026,0.7018,0.6006,4
110,72,?,no,3,5.18,247.34,5.18,281.27,-1,-1,-1,no,no,no,no,yes,no,yes,no,no,yes,1.2754,0.6872,0.588,4
110,72,?,no,3,5.52,250.4,5.52,273.45,-1,-1,-1,no,no,no,no,yes,no,yes,no,no,yes,1.533,0.826,0.7068,4
110,72,?,no,3,5.25,277,5.25,289.27,-1,-1,-1,no,no,no,no,yes,no,yes,no,no,yes,1.2814,0.6904,0.5908,4
110,72,?,no,3,5.92,226.27,5.92,253.52,-1,-1,-1,no,no,no,no,yes,no,yes,no,no,yes,1.2762,0.6876,0.5884,1
110,72,?,no,3,6.62,194.04,6.62,211.8,-1,-1,-1,no,no,no,no,yes,no,yes,no,no,yes,1.3325,0.7179,0.6144,4
110,72,?,no,3,5.88,338.1,5.88,352.79,-1,-1,-1,no,no,no,no,yes,no,yes,no,no,yes,1.2934,0.6969,0.5963,1
110,72,?,no,3,5.4,194.98,5.4,299.78,-1,-1,-1,no,no,no,no,yes,no,yes,no,no,yes,1.279,0.6891,0.5897,3
110,312,?,no,3,5.56,187.44,5.56,218.32,-1,-1,-1,no,no,no,no,yes,no,yes,no,no,yes,1.3357,0.7197,0.6158,4
110,312,?,no,3,5.18,247.34,5.18,281.27,-1,-1,-1,no,no,no,no,yes,no,yes,no,no,yes,1.3046,0.7029,0.6015,4
110,312,?,no,3,5.52,250.4,5.52,273.45,-1,-1,-1,no,no,no,no,yes,no,yes,no,no,yes,1.3125,0.7072,0.6052,4
110,312,?,no,3,5.25,277,5.25,289.27,-1,-1,-1,no,no,no,no,yes,no,yes,no,no,yes,1.2578,0.6777,0.5799,4
110,312,?,no,3,5.92,226.27,5.92,253.52,-1,-1,-1,no,no,no,no,yes,no,yes,no,no,yes,1.2838,0.6917,0.5919,4
110,312,?,no,3,6.62,194.04,6.62,211.8,-1,-1,-1,no,no,no,no,yes,no,yes,no,no,yes,1.3401,0.722,0.6179,4
110,312,?,no,3,5.88,338.1,5.88,352.79,-1,-1,-1,no,no,no,no,yes,no,yes,no,no,yes,1.3026,0.7018,0.6006,3
