@relation 'rec_system-weka.filters.unsupervised.attribute.Remove-V-R1-3,5,18,26,63,83,99-100,103,170,172,174,180,182,234,255,261,274'

@attribute Temp_max numeric
@attribute time numeric
@attribute slowCool {yes,no}
@attribute leak {yes,no}
@attribute orgavgpol_pHdependentMax numeric
@attribute orgpolarsurfaceareaMax numeric
@attribute orgASA_PArithAvg numeric
@attribute orgpolarsurfaceareaGeomAvg numeric
@attribute oxlikeASA-Max numeric
@attribute oxlikeASA_HMax numeric
@attribute oxlikehbdamsaccMax numeric
@attribute Te {yes,no}
@attribute K {yes,no}
@attribute F {yes,no}
@attribute S {yes,no}
@attribute Se {yes,no}
@attribute PaulingElectronegMin numeric
@attribute AtomicRadiusMaxWeighted numeric
@attribute AtomicRadiusMinWeighted numeric
@attribute outcome {1,2}

@data
90,24,yes,no,11.87,25.78,27.88,25.78,-1,-1,-1,no,no,no,yes,yes,1.63,0.5103,0.3522,2
90,24,yes,no,19.47,88.5,128.75,88.5,-1,-1,-1,no,no,no,yes,yes,1.63,0.5126,0.3482,2
90,24,yes,no,18.99,83.92,119.9,83.92,-1,-1,-1,no,no,no,yes,yes,1.63,0.5227,0.3634,2
110,24,yes,no,12.54,21.05,27.89,21.05,-1,-1,-1,no,no,no,yes,yes,1.63,0.2971,0.1757,2
110,24,yes,no,16.3,48.69,72.41,48.69,-1,-1,-1,no,no,no,yes,yes,1.63,0.6355,0.1758,2
110,24,yes,no,16.3,48.69,72.41,48.69,-1,-1,-1,no,no,no,yes,yes,1.63,0.5179,0.3373,2
110,24,yes,no,13.33,25.78,30.99,25.78,-1,-1,-1,no,no,no,yes,yes,1.63,0.6294,0.1688,2
110,24,yes,no,13.69,27.03,31.24,27.03,-1,-1,-1,no,no,no,yes,yes,1.63,0.5311,0.334,2
110,24,yes,no,12.43,33.22,36.59,33.22,-1,-1,-1,no,no,no,yes,yes,1.63,0.3177,0.1728,2
110,24,yes,no,10.63,44.25,64.03,44.25,-1,-1,-1,no,no,no,yes,yes,1.63,0.6256,0.177,2
110,24,yes,no,10.08,27.03,59.99,27.03,-1,-1,-1,no,no,no,yes,yes,1.63,0.913,0.1762,2
110,24,yes,no,10.08,27.03,59.99,27.03,-1,-1,-1,no,no,no,yes,yes,1.63,1.2221,0.1223,1
110,24,yes,no,10.63,44.25,64.03,44.25,-1,-1,-1,no,no,no,yes,yes,1.63,0.6145,0.1701,2
110,24,yes,no,10.63,44.25,64.03,44.25,-1,-1,-1,no,no,no,yes,yes,1.63,0.9193,0.1715,1
110,24,yes,no,14.51,33.22,32.37,33.22,-1,-1,-1,no,no,no,yes,yes,1.63,0.6287,0.176,2
110,24,yes,no,14.51,33.22,32.37,33.22,-1,-1,-1,no,no,no,yes,yes,1.63,1.254,0.1731,2
110,24,yes,no,13.69,27.03,31.24,27.03,-1,-1,-1,no,no,no,yes,yes,1.63,0.3086,0.1748,2
110,24,yes,no,26.09,64.16,107.52,64.16,-1,-1,-1,no,no,no,yes,yes,1.63,0.514,0.3635,1
110,24,yes,no,11.87,25.78,27.88,25.78,-1,-1,-1,no,no,no,yes,yes,1.63,0.5041,0.3333,2
150,20,yes,no,13.69,27.03,31.24,27.03,-1,-1,-1,no,no,no,no,yes,1.63,0.6084,0.1942,2
150,20,yes,no,10.63,44.25,64.03,44.25,-1,-1,-1,no,no,no,no,yes,1.63,0.6155,0.1745,2
150,20,yes,yes,14.51,33.22,32.37,33.22,-1,-1,-1,no,no,no,no,yes,1.63,0.6165,0.179,1
150,20,yes,no,7.76,55.28,96.11,55.28,-1,-1,-1,no,no,no,no,yes,1.63,0.6132,0.1708,2
110,24,yes,no,14.28,7.68,12.27,7.68,-1,-1,-1,no,no,no,yes,yes,1.63,1.2741,0.186,1
110,24,yes,no,14.23,28.64,23.05,28.64,-1,-1,-1,no,no,no,yes,yes,1.63,1.3325,0.1748,2
110,24,yes,no,13.33,25.78,30.99,25.78,-1,-1,-1,no,no,no,yes,yes,1.63,1.2448,0.1756,2
