@relation 'rec_system-weka.filters.unsupervised.attribute.Remove-V-R18,48,60,162-163,171,233,250,255,262,273-274'

@attribute orgavgpol_pHdependentMax numeric
@attribute orgavgpolArithAvg numeric
@attribute orgASA+ArithAvg numeric
@attribute inorg-water-moleratio numeric
@attribute org-water-moleratio numeric
@attribute Br {yes,no}
@attribute EAMin numeric
@attribute IonizationMaxWeighted numeric
@attribute AtomicRadiusMaxWeighted numeric
@attribute IonizationMeanWeighted numeric
@attribute AtomicRadiusGeomWeighted numeric
@attribute outcome {1,2,3,4}

@data
14.28,14.02,244.99,0.007,0.0036,no,50.6,1.0258,0.2041,0.9013,0.1721,3
15.15,14.87,269.11,0.007,0.0035,no,50.6,1.0274,0.1984,0.8914,0.1698,3
13.24,12.56,247.15,0.007,0.0038,no,50.6,1.036,0.2015,0.9016,0.1719,3
11.76,11.15,244.26,0.007,0.0038,no,50.6,1.0109,0.2066,0.8986,0.1719,3
18.79,17.76,293.38,0.007,0.0035,no,50.6,1.0329,0.202,0.9008,0.1718,4
15.81,15.28,259.02,0.0071,0.0037,no,50.6,1.0384,0.2063,0.9118,0.1741,4
10.27,9.88,205.41,0.0426,0.0232,no,50.6,5.0748,0.5555,3.1917,0.437,4
10.27,9.88,205.41,0.0225,0.0127,no,50.6,4.8203,0.5276,3.0587,0.424,4
10.27,9.88,205.41,0.1098,0.0634,no,50.6,4.7711,0.5222,3.0263,0.4193,4
10.27,9.88,205.41,0.0371,0.0109,no,50.6,4.7627,0.5213,3.0314,0.422,4
14.23,13.88,228.83,0.0417,0.0239,no,50.6,4.7754,0.5227,3.0266,0.4189,2
14.23,13.88,228.83,0.0371,0.0077,no,50.6,4.7279,0.5175,3.0232,0.4234,3
10.63,9.94,188.71,0.0423,0.0201,no,50.6,4.9187,0.5384,3.0973,0.4248,3
10.63,9.94,188.71,0.0364,0.0107,no,50.6,4.6473,0.5087,2.9692,0.4154,3
9.73,9.73,216.3,0.0789,0.0478,no,50.6,4.6312,0.5069,2.9665,0.4164,4
9.73,9.73,216.3,0.0375,0.023,no,50.6,4.755,0.5205,3.0232,0.4202,4
9.73,9.73,216.3,0.0202,0.0131,no,50.6,4.6558,0.5096,2.969,0.4143,4
9.73,9.73,216.3,0.038,0.0109,no,50.6,5.1163,0.56,3.2022,0.4353,3
15.21,14.59,196.87,0.0211,0.003,no,50.6,5.6184,0.615,3.1781,0.3452,4
34.44,33.87,324.98,0.0203,0.002,no,50.6,5.6268,0.6159,3.1689,0.3392,4
34.44,33.87,324.98,0.0205,0.0019,no,50.6,5.609,0.614,3.1512,0.3344,4
13.69,13.33,268.62,0.0427,0.0172,no,50.6,4.6372,0.5076,3.0188,0.4321,3
13.33,13.33,211.47,0.0378,0.0155,no,50.6,4.6838,0.5127,2.9892,0.4176,4
10.63,9.94,188.71,0.0369,0.0092,no,50.6,4.6329,0.5071,2.9618,0.4147,1
10.63,9.94,188.71,0.0406,0.0109,no,50.6,4.694,0.5138,2.9909,0.4169,2
9.73,9.73,216.3,0.0411,0.0125,no,50.6,4.7915,0.5245,3.0394,0.4212,4
9.73,9.73,216.3,0.043,0.0137,no,50.6,4.8051,0.526,3.0784,0.4322,3
10.57,9.88,203.38,0.0419,0.0124,no,50.6,4.6355,0.5074,2.9678,0.4163,3
